ID,Target_Form_ID,Source_Form_ID,Comment,Source,Likelihood,SourceLanguoid
105-101-1,105-101-1,,,SSA,clear,North Germanic
106-101-1,106-101-1,,,SSA,clear,North Germanic
108-101-1,108-101-1,,,SSA,clear,North Germanic
105-101-2,105-101-2,,,Helimski1996,clear,North Germanic
107-101-1,107-101-1,,,Helimski1996,clear,North Germanic
401-101-4,401-101-4,,,TscherWb,clear,Chuvash
401-101-5,401-101-5,,,TscherWb,clear,Chuvash
601-101-1,601-101-1,,,WOT,clear,Volga Bulgar Turkic
601-101-2,601-101-2,,,Zaicz2006,probable,Cumanian Turkic
503-101-2,503-101-2,,,Kalima1911,clear,Russian
203-102-1,203-102-1,,,SSA;NES;EES,clear,Baltic
204-102-1,204-102-1,,,SSA;NES;EES,clear,Baltic
207-102-1,207-102-1,,,SSA;NES;EES,clear,Baltic
208-102-1,208-102-1,,,SSA;NES;EES,clear,Baltic
208-102-2,208-102-2,,,SSA;NES;EES,clear,Baltic
208-102-3,208-102-3,,,SSA;NES;EES,clear,Baltic
209-102-1,209-102-1,,,SSA;NES;EES,clear,Baltic
210-102-1,210-102-1,,,SSA;NES;EES,clear,Baltic
211-102-1,211-102-1,,,SSA;NES;EES,clear,Baltic
501-102-3,501-102-3,,,KESK;Kalima1911,clear,Russian
501-102-4,501-102-4,,,KESK;Kalima1911,clear,Russian
101-102-1,101-102-1,,,Lagercrantz1939,clear,Finnic
102-102-1,102-102-1,,,Lagercrantz1939,clear,Finnic
104-102-1,104-102-1,,,Lagercrantz1939,clear,Finnic
101-103-1,101-103-1,,,Lagercrantz1939,possible,Finnic
102-103-1,102-103-1,,,SSA,possible,Finnic
204-103-1,204-103-1,,,MH,clear,Russian
208-103-1,208-103-1,,,InkmSk,clear,Russian
209-103-1,209-103-1,,,VKJMS,clear,Russian
204-103-2,204-103-2,,,SSA,probable,Russian
207-103-1,207-103-1,,,MH,clear,Russian
208-103-2,208-103-2,,,InkmSk,probable,Russian
107-103-1,107-103-1,,,SSA,clear,Finnic
401-103-1,401-103-1,,,TscherWb,probable,Chuvash
108-103-1,108-103-1,,,Itkonen1958b,clear,Russian
102-103-2,102-103-2,,,SSA,probable,Finnic
102-103-3,102-103-3,,,SSA,probable,Finnic
104-103-1,104-103-1,,,SSA,probable,Finnic
105-103-1,105-103-1,,,SSA,clear,Finnic
106-103-1,106-103-1,,,SSA,clear,Finnic
107-103-2,107-103-2,,,SSA,clear,Finnic
108-103-2,108-103-2,,,Rieler2009,clear,Finnic
203-103-1,203-103-1,,,SSA,clear,Germanic
208-103-3,208-103-3,,,LAGLOS;SSA,clear,Germanic
209-103-2,209-103-2,,,LAGLOS;SSA,clear,Germanic
210-103-1,210-103-1,,,LAGLOS;EES,clear,Germanic
211-103-1,211-103-1,,,LAGLOS;EES,clear,Germanic
212-103-1,212-103-1,,,LAGLOS;EES,clear,Germanic
301-103-1,301-103-1,,,MordWb,clear,Russian
501-103-1,501-103-1,,,KESK,clear,Russian
503-103-1,503-103-1,,,KESK,clear,Russian
504-103-1,504-103-1,,,WotjWsch,clear,Russian
501-103-2,501-103-2,,,Kalima1911,clear,Russian
503-103-2,503-103-2,,,KoPRSl,clear,Russian
504-103-2,504-103-2,,,WotjWsch,clear,Russian
701-103-2,701-103-2,,,Kalman1961,clear,Russian
301-103-2,301-103-2,,,MordWb,clear,Russian
108-104-1,108-104-1,,,Rieler2009,clear,Russian
101-104-1,101-104-1,,,Qvigstad1893,clear,North Germanic
301-104-1,301-104-1,,,MordWb,clear,Russian
401-104-1,401-104-1,,,Isanbaev1994,clear,Tatar
102-104-1,102-104-1,,,Schlachter1958,clear,North Germanic
204-104-3,204-104-3,,,MH,clear,Russian
207-104-1,207-104-1,,,MH,clear,Russian
501-104-2,501-104-2,,,SyrjWsch,clear,Russian
503-105-1,503-105-1,,,Koivulehto2001;Redei1986,possible,Iranian
301-106-1,301-106-1,,,Butylov2007,possible,Tatar
104-106-1,104-106-1,,,SSA,clear,Finnic
106-106-1,106-106-1,,,AlguDB,clear,Finnic
107-106-1,107-106-1,,,AlguDB,clear,Finnic
210-106-1,210-106-1,,,EES;SSA,possible,Germanic
211-106-1,211-106-1,,,EES;SSA,possible,Germanic
212-106-1,212-106-1,,,Suhonen1973;Winkler2014,possible,Low German_or_Lithuanian
