ID,Target_Form_ID,Source_Form_ID,Comment,Source,Likelihood,SourceLanguoid
105-106-1,105-106-1,,,Aikio2007;SSA,clear,Finnic
102-106-1,102-106-1,,,SSA,clear,Finnic
107-106-2,107-106-2,,,SSA,clear,Finnic
105-106-2,105-106-2,,,Lagercrantz1939,clear,Finnic
106-106-2,106-106-2,,,Lagercrantz1939,clear,Finnic
504-106-1,504-106-1,,,WotjWsch,clear,Russian
401-106-1,401-106-1,,,TscherWb,probable,Russian
401-106-2,401-106-2,,,Isanbaev1994,clear,Tatar
101-106-2,101-106-2,,,Lagercrantz1939,clear,North Germanic
208-106-2,208-106-2,,,EES,probable,Germanic
209-106-2,209-106-2,,,EES,probable,Germanic
503-107-1,503-107-1,,,KoPRSl,clear,Russian
203-108-2,203-108-2,,,LAGLOS;SSA;NES,clear,Germanic
209-108-2,209-108-2,,,LAGLOS;SSA;NES,clear,Germanic
212-108-2,212-108-2,,,LAGLOS;SSA;NES,clear,Germanic
601-108-2,601-108-2,,,WOT,clear,West Old Turkic
807-108-2,807-108-2,,,Korenchy1972,possible,Iranian
401-109-1,401-109-1,,,Isanbaev1994,clear,Tatar
501-109-1,501-109-1,,,Csucs2005,clear,Volga Bulgar Turkic
401-109-2,401-109-2,,,TscherWb,clear,Chuvash
503-109-1,503-109-1,,,KoPRSl,clear,Russian
301-11-1,301-11-1,,,Holopainen2019,clear,Indo-Iranian
401-110-1,401-110-1,,,TscherWb,clear,Chuvash
101-111-1,101-111-1,,,Sammallahti1998,clear,North Germanic
102-111-1,102-111-1,,,Sammallahti1998,clear,North Germanic
104-111-1,104-111-1,,,Sammallahti1998,clear,North Germanic
105-111-1,105-111-1,,,Sammallahti1998,clear,North Germanic
106-111-1,106-111-1,,,Lehtiranta1989,clear,North Germanic
106-111-2,106-111-2,,,Lehtiranta1989,clear,North Germanic
107-111-1,107-111-1,,,Lehtiranta1989,clear,North Germanic
107-111-2,107-111-2,,,Lehtiranta1989,clear,North Germanic
108-111-1,108-111-1,,,Rieler2009,clear,North Germanic
601-111-1,601-111-1,,,WOT;TESz;Zaicz2006,possible,West Old Turkic
503-111-1,503-111-1,,,KESK,clear,Russian
101-112-2,101-112-2,,,Aikio2009,clear,Germanic
208-113-2,208-113-2,,,InkmSk,clear,Russian
209-113-2,209-113-2,,,VKJMS,clear,Russian
101-114-1,101-114-1,,,Koivulehto1983;SSA;NES,probable,North-Western-Indo-European
104-114-1,104-114-1,,,Koivulehto1983;SSA;NES,probable,North-Western-Indo-European
105-114-1,105-114-1,,,Koivulehto1983;SSA;NES,probable,North-Western-Indo-European
106-114-1,106-114-1,,,Koivulehto1983;SSA;NES,probable,North-Western-Indo-European
107-114-1,107-114-1,,,Koivulehto1983;SSA;NES,probable,North-Western-Indo-European
108-114-1,108-114-1,,,Koivulehto1983;SSA;NES,probable,North-Western-Indo-European
203-114-1,203-114-1,,,Koivulehto1983;SSA;NES,probable,North-Western-Indo-European
204-114-1,204-114-1,,,Koivulehto1983;SSA;NES,probable,North-Western-Indo-European
208-114-1,208-114-1,,,Koivulehto1983;SSA;NES,probable,North-Western-Indo-European
209-114-1,209-114-1,,,Koivulehto1983;SSA;NES,probable,North-Western-Indo-European
210-114-1,210-114-1,,,Koivulehto1983;SSA;NES,probable,North-Western-Indo-European
211-114-1,211-114-1,,,Koivulehto1983;SSA;NES,probable,North-Western-Indo-European
212-114-1,212-114-1,,,Koivulehto1983;SSA;NES,probable,North-Western-Indo-European
301-114-1,301-114-1,,,Koivulehto1983;SSA;NES,probable,North-Western-Indo-European
101-115-1,101-115-1,,,Lagercrantz1939,clear,North Germanic
102-115-1,102-115-1,,,Schlachter1958,clear,North Germanic
104-115-1,104-115-1,,,MH,clear,North Germanic
105-115-2,105-115-2,,,Itkonen1958b,clear,North Germanic
107-115-1,107-115-1,,,Itkonen1958b,clear,North Germanic
601-115-1,601-115-1,,,WOT,clear,West Old Turkic
401-115-2,401-115-2,,,Isanbaev1994,clear,Tatar
107-115-2,107-115-2,,,MH,clear,Finnic
203-116-1,203-116-1,,,LAGLOS;SSA;NES,possible,Germanic
204-116-1,204-116-1,,,LAGLOS;SSA;NES,possible,Germanic
207-116-1,207-116-1,,,LAGLOS;SSA;NES,possible,Germanic
208-116-1,208-116-1,,,LAGLOS;SSA;NES,possible,Germanic
209-116-1,209-116-1,,,LAGLOS;SSA;NES,possible,Germanic
210-116-1,210-116-1,,,LAGLOS;SSA;NES,possible,Germanic
211-116-1,211-116-1,,,LAGLOS;SSA;NES,possible,Germanic
107-119-2,107-119-2,,,Qvigstad1893,possible,North Germanic
504-119-2,504-119-2,,,WotjWsch,clear,Russian
401-119-2,401-119-2,,,Holopainen2019;Bereczki2013,possible,Indo_Iranian_or_Iranian
807-119-1,807-119-1,,,Korenchy1972,possible,Iranian
101-119-1,101-119-1,,,Lagercrantz1939,clear,North Germanic
401-12-1,401-12-1,,,TscherWb,clear,Chuvash
401-120-1,401-120-1,,,KESK,probable,Permic
203-121-1,203-121-1,,,Junttila2015;SSA;NES,possible,Baltic
204-121-1,204-121-1,,,Junttila2015;SSA;NES,possible,Baltic
207-121-1,207-121-1,,,Junttila2015;SSA;NES,possible,Baltic
208-121-1,208-121-1,,,Junttila2015;SSA;NES,possible,Baltic
209-121-1,209-121-1,,,Junttila2015;SSA;NES,possible,Baltic
209-121-2,209-121-2,,,Junttila2015;SSA;NES,probable,Baltic
210-121-1,210-121-1,,,Junttila2015;SSA;NES,probable,Baltic
211-121-1,211-121-1,,,Junttila2015;SSA;NES,probable,Baltic
212-121-1,212-121-1,,,Junttila2015;SSA;NES,probable,Baltic
105-121-1,105-121-1,,,Aikio2006,probable,Germanic
106-121-1,106-121-1,,,Aikio2006,probable,Germanic
107-121-1,107-121-1,,,MH,clear,Russian
501-121-1,501-121-1,,,KESK,clear,Russian
503-121-1,503-121-1,,,KESK,clear,Russian
504-121-1,504-121-1,,,WotjWsch;Tarakanov1993,clear,Tatar
301-121-2,301-121-2,,,MordWb,clear,Russian
104-121-1,104-121-1,,,MH,probable,Finnic
203-122-1,203-122-1,,,LAGLOS;SSA;NES,probable,Germanic
204-122-1,204-122-1,,,LAGLOS;SSA;NES,probable,Germanic
207-122-1,207-122-1,,,LAGLOS;SSA;NES,probable,Germanic
208-122-1,208-122-1,,,LAGLOS;SSA;NES,probable,Germanic
209-122-1,209-122-1,,,LAGLOS;SSA;NES,probable,Germanic
210-122-1,210-122-1,,,LAGLOS;SSA;NES,probable,Germanic
211-122-1,211-122-1,,,LAGLOS;SSA;NES,probable,Germanic
212-122-1,212-122-1,,,LAGLOS;SSA;NES,probable,Germanic
203-122-2,203-122-2,,,LAGLOS;SSA;NES,probable,Germanic
204-122-2,204-122-2,,,LAGLOS;SSA;NES,probable,Germanic
207-122-2,207-122-2,,,LAGLOS;SSA;NES,probable,Germanic
101-122-1,101-122-1,,,Aikio2006,probable,Germanic
102-122-1,102-122-1,,,Aikio2006,probable,Germanic
104-122-1,104-122-1,,,Aikio2006,probable,Germanic
105-122-1,105-122-1,,,Aikio2006;Sammallahti1998,probable,Germanic
106-122-1,106-122-1,,,Aikio2006,probable,Germanic
107-122-1,107-122-1,,,Aikio2006,probable,Germanic
108-122-1,108-122-1,,,Rieler2009,probable,Germanic
301-122-2,301-122-2,,,MordWb,clear,Russian
601-122-2,601-122-2,,,Kniezsa1974;Zaicz2006;TESz,clear,Slavic
301-123-1,301-123-1,,,MordWb,probable,Russian
401-123-1,401-123-1,,,TscherWb,possible,Chuvash
501-123-1,501-123-1,,,KESK;Kalima1911,clear,Russian
101-124-1,101-124-1,,,Koivulehto2001;Hakkinen2009,probable,Proto-Indo-European
102-124-1,102-124-1,,,Koivulehto2001;Hakkinen2009,probable,Proto-Indo-European
104-124-1,104-124-1,,,Koivulehto2001;Hakkinen2009,probable,Proto-Indo-European
105-124-1,105-124-1,,,Koivulehto2001;Hakkinen2009,probable,Proto-Indo-European
106-124-1,106-124-1,,,Koivulehto2001;Hakkinen2009,probable,Proto-Indo-European
107-124-1,107-124-1,,,Koivulehto2001;Hakkinen2009,probable,Proto-Indo-European
108-124-1,108-124-1,,,Koivulehto2001;Hakkinen2009,probable,Proto-Indo-European
203-124-1,203-124-1,,,Koivulehto2001;Hakkinen2009,possible,Proto-Indo-European
209-124-1,209-124-1,,,Koivulehto2001,possible,Proto-Indo-European
211-124-1,211-124-1,,,Koivulehto2001,possible,Proto-Indo-European
301-124-1,301-124-1,,,Koivulehto2001,probable,Proto-Indo-European
501-124-1,501-124-1,,,Koivulehto2001,probable,Proto-Indo-European
503-124-1,503-124-1,,,Koivulehto2001,probable,Proto-Indo-European
601-124-1,601-124-1,,,Koivulehto2001;Hakkinen2009;Zaicz2006,probable,Proto-Indo-European
701-124-1,701-124-1,,,Koivulehto2001,probable,Proto-Indo-European
807-124-1,807-124-1,,,Koivulehto2001,probable,Proto-Indo-European
807-124-2,807-124-2,,,Koivulehto2001,probable,Proto-Indo-European
204-124-1,204-124-1,,,SSA,probable,Germanic
207-124-1,207-124-1,,,SSA,probable,Germanic
208-124-1,208-124-1,,,SSA,probable,Germanic
504-124-2,504-124-2,,,Tarakanov1993,possible,Tatar
204-125-2,204-125-2,,,SSA,clear,Russian
501-125-1,501-125-1,,,Csucs2005,possible,Iranian
503-125-2,503-125-2,,,Csucs2005,possible,Iranian
203-126-1,203-126-1,,,LAGLOS;SSA;NES,possible,Germanic
204-126-1,204-126-1,,,LAGLOS;SSA;NES,possible,Germanic
207-126-1,207-126-1,,,LAGLOS;SSA;NES,possible,Germanic
208-126-1,208-126-1,,,LAGLOS;SSA;NES,possible,Germanic
209-126-1,209-126-1,,,LAGLOS;SSA;NES,possible,Germanic
210-126-1,210-126-1,,,LAGLOS;SSA;NES,possible,Germanic
101-126-1,101-126-1,,,Qvigstad1893,possible,North Germanic
102-126-1,102-126-1,,,Qvigstad1893,possible,North Germanic
501-126-1,501-126-1,,,Kalima1911,clear,Russian
108-126-1,108-126-1,,,Rieler2009,clear,North Germanic
105-126-2,105-126-2,,,Sammallahti1998,clear,Finnic
106-126-3,106-126-3,,,SSA,clear,Finnic
105-126-3,105-126-3,,,SSA,clear,Finnic
203-13-1,203-13-1,,,Holopainen2019,probable,Indo-Iranian
203-13-2,203-13-2,,,Holopainen2019,probable,Indo-Iranian
204-13-1,204-13-1,,,Holopainen2019,probable,Indo-Iranian
207-13-1,207-13-1,,,Holopainen2019,probable,Indo-Iranian
208-13-1,208-13-1,,,Holopainen2019,probable,Indo-Iranian
210-13-1,210-13-1,,,Holopainen2019,probable,Indo-Iranian
212-13-1,212-13-1,,,Holopainen2019,probable,Indo-Iranian
212-13-2,212-13-2,,,Holopainen2019,probable,Indo-Iranian
902-13-1,902-13-1,,,Holopainen2019,probable,Indo-Iranian
907-13-1,907-13-1,,,Holopainen2019,probable,Indo-Iranian
101-13-1,101-13-1,,,Koivulehto2001,probable,North-Western-Indo-European
105-13-1,105-13-1,,,Koivulehto2001,probable,North-Western-Indo-European
106-13-1,106-13-1,,,Koivulehto2001,probable,North-Western-Indo-European
107-13-1,107-13-1,,,Koivulehto2001,probable,North-Western-Indo-European
108-13-1,108-13-1,,,Koivulehto2001,probable,North-Western-Indo-European
203-130-1,203-130-1,,,Junttila2015,possible,Baltic
204-130-1,204-130-1,,,Junttila2015,possible,Baltic
208-130-1,208-130-1,,,Junttila2015,possible,Baltic
209-130-1,209-130-1,,,Junttila2015,possible,Baltic
101-130-1,101-130-1,,,Koivulehto2001,possible,Proto-Indo-European
102-130-1,102-130-1,,,Koivulehto2001,possible,Proto-Indo-European
104-130-1,104-130-1,,,Koivulehto2001,possible,Proto-Indo-European
105-130-1,105-130-1,,,Koivulehto2001,possible,Proto-Indo-European
106-130-1,106-130-1,,,Koivulehto2001,possible,Proto-Indo-European
107-130-1,107-130-1,,,Koivulehto2001,possible,Proto-Indo-European
108-130-1,108-130-1,,,Koivulehto2001,possible,Proto-Indo-European
401-130-1,401-130-1,,,Bereczki2013,clear,Chuvash
106-131-1,106-131-1,,,Itkonen1986,clear,Finnic
212-131-2,212-131-2,,,Suhonen1973,clear,Latvian
105-131-1,105-131-1,,,Aikio2006;Sammallahti1998,probable,North Germanic
101-131-1,101-131-1,,,Lagercrantz1939,clear,North Germanic
101-131-2,101-131-2,,,Koivulehto1999a,clear,North Germanic
105-131-2,105-131-2,,,Heikkila2011,clear,North Germanic
106-131-2,106-131-2,,,Koivulehto1999a,clear,North Germanic
107-131-1,107-131-1,,,Koivulehto1999a,clear,North Germanic
108-131-1,108-131-1,,,Rieler2009,clear,North Germanic
301-131-1,301-131-1,,,Butylov2007,clear,Turkic
207-131-2,207-131-2,,,MH,clear,Russian
212-131-3,212-131-3,,,Junttila2015,probable,Baltic
301-131-2,301-131-2,,,MordWb,clear,Russian
504-131-1,504-131-1,,,WotjWsch,clear,Volga Bulgar Turkic
102-131-1,102-131-1,,,Schlachter1958,clear,North Germanic
102-133-1,102-133-1,,,Aikio2009,clear,North Germanic
104-133-1,104-133-1,,,Aikio2009,clear,North Germanic
105-133-1,105-133-1,,,Aikio2009,clear,North Germanic
101-133-1,101-133-1,,,Lagercrantz1939,clear,North Germanic
105-133-2,105-133-2,,,Lagercrantz1939,clear,North Germanic
106-133-1,106-133-1,,,Lagercrantz1939,clear,North Germanic
204-133-2,204-133-2,,,MH,clear,Russian
401-133-1,401-133-1,,,TscherWb,clear,Chuvash
504-133-1,504-133-1,,,WotjWsch,clear,Volga Bulgar Turkic
208-133-3,208-133-3,,,InkmSk,clear,Russian
209-133-1,209-133-1,,,VKJMS,clear,Russian
301-133-2,301-133-2,,,MordWb,clear,Russian
503-133-1,503-133-1,,,KoPRSl,clear,Russian
101-135-1,101-135-1,,,SSA;NES,probable,North-Western-Indo-European
102-135-1,102-135-1,,,SSA;NES,probable,North-Western-Indo-European
104-135-1,104-135-1,,,SSA;NES,probable,North-Western-Indo-European
105-135-1,105-135-1,,,Sammallahti1998,probable,North-Western-Indo-European
106-135-2,106-135-2,,,SSA;NES,probable,North-Western-Indo-European
107-135-2,107-135-2,,,SSA;NES,probable,North-Western-Indo-European
108-135-1,108-135-1,,,SSA;NES,probable,North-Western-Indo-European
209-135-2,209-135-2,,,SSA;NES,probable,North-Western-Indo-European
212-135-1,212-135-1,,,SSA;NES,probable,North-Western-Indo-European
301-135-2,301-135-2,,,SSA;NES,probable,North-Western-Indo-European
401-135-2,401-135-2,,,SSA;NES,probable,North-Western-Indo-European
501-135-1,501-135-1,,,SSA;NES,probable,North-Western-Indo-European
503-135-1,503-135-1,,,SSA;NES,probable,North-Western-Indo-European
504-135-1,504-135-1,,,SSA;NES,probable,North-Western-Indo-European
101-136-1,101-136-1,,,Koivulehto1976;Aikio2002,possible,Germanic_or_Finnic
102-136-1,102-136-1,,,Koivulehto1976;Aikio2002,possible,Germanic_or_Finnic
104-136-1,104-136-1,,,Koivulehto1976;Aikio2002,possible,Germanic_or_Finnic
105-136-1,105-136-1,,,Koivulehto1976;Aikio2002,possible,Germanic_or_Finnic
106-136-1,106-136-1,,,Koivulehto1976;Aikio2002,possible,Germanic_or_Finnic
107-136-1,107-136-1,,,Koivulehto1976;Aikio2002,possible,Germanic_or_Finnic
108-136-1,108-136-1,,,Koivulehto1976;Aikio2002,possible,Germanic_or_Finnic
101-137-1,101-137-1,,,Koivulehto1999a,clear,North Germanic
102-137-1,102-137-1,,,Koivulehto1999a,clear,North Germanic
104-137-1,104-137-1,,,Koivulehto1999a,clear,North Germanic
105-137-1,105-137-1,,,Koivulehto1999a,clear,North Germanic
106-137-1,106-137-1,,,Koivulehto1999a,clear,North Germanic
107-137-1,107-137-1,,,Koivulehto1999a,clear,North Germanic
108-137-1,108-137-1,,,Koivulehto1999a,clear,North Germanic
501-137-1,501-137-1,,,Csucs2005,possible,Indo-Iranian_or_Iranian
503-137-1,503-137-1,,,Csucs2005,possible,Indo-Iranian_or_Iranian
504-137-1,504-137-1,,,Csucs2005,possible,Indo-Iranian_or_Iranian
203-137-1,203-137-1,,,LAGLOS;SSA;NES,possible,Germanic
204-137-1,204-137-1,,,LAGLOS;SSA;NES,possible,Germanic
207-137-1,207-137-1,,,LAGLOS;SSA;NES,possible,Germanic
208-137-1,208-137-1,,,LAGLOS;SSA;NES,possible,Germanic
208-137-2,208-137-2,,,LAGLOS;SSA;NES,possible,Germanic
209-137-1,209-137-1,,,LAGLOS;SSA;NES,possible,Germanic
210-137-1,210-137-1,,,LAGLOS;SSA;NES,possible,Germanic
211-137-3,211-137-3,,,LAGLOS;SSA;NES,possible,Germanic
212-137-1,212-137-1,,,LAGLOS;SSA;NES,possible,Germanic
203-138-1,203-138-1,,,Koivulehto1999;Holopainen2019,clear,Indo-Iranian
204-138-1,204-138-1,,,Holopainen2019;Koivulehto1999,clear,Indo-Iranian
207-138-1,207-138-1,,,Holopainen2019;Koivulehto1999,clear,Indo-Iranian
209-138-1,209-138-1,,,Holopainen2019;Koivulehto1999,clear,Indo-Iranian
401-138-1,401-138-1,,,Holopainen2019;Koivulehto1999,clear,Indo-Iranian
401-138-2,401-138-2,,,Holopainen2019;Koivulehto1999,clear,Indo-Iranian
501-138-1,501-138-1,,,Holopainen2019;Koivulehto1999,clear,Indo-Iranian
504-138-1,504-138-1,,,Holopainen2019;Koivulehto1999,clear,Indo-Iranian
204-138-2,204-138-2,,,MH,clear,Russian
204-138-3,204-138-3,,,EES,possible,Germanic
208-138-1,208-138-1,,,EES,possible,Germanic
209-138-2,209-138-2,,,EES,possible,Germanic
210-138-1,210-138-1,,,EES,possible,Germanic
211-138-1,211-138-1,,,EES,possible,Germanic
212-138-1,212-138-1,,,Junttila2015,clear,Baltic
101-138-1,101-138-1,,,Koivulehto1999a,possible,Germanic_or_North_Germanic
102-138-1,102-138-1,,,Koivulehto1999a,possible,Germanic_or_North_Germanic
104-138-1,104-138-1,,,Koivulehto1999a,possible,Germanic_or_North_Germanic
105-138-1,105-138-1,,,Koivulehto1999a,possible,Germanic_or_North_Germanic
106-138-1,106-138-1,,,Koivulehto1999a,possible,Germanic_or_North_Germanic
107-138-1,107-138-1,,,Koivulehto1999a,possible,Germanic_or_North_Germanic
108-138-1,108-138-1,,,Koivulehto1999a,possible,Germanic_or_North_Germanic
601-138-1,601-138-1,,,WOT,possible,Iranian
503-138-1,503-138-1,,,KoPRSl,clear,Russian
0-139-1,0-139-1,,,Koivulehto1999,possible,Indo-European
102-139-1,102-139-1,,,Koivulehto1999,possible,Indo-European
104-139-1,104-139-1,,,Koivulehto1999,possible,Indo-European
105-139-1,105-139-1,,,Koivulehto1999,possible,Indo-European
106-139-1,106-139-1,,,Koivulehto1999,possible,Indo-European
107-139-1,107-139-1,,,Koivulehto1999,possible,Indo-European
108-139-1,108-139-1,,,Koivulehto1999,possible,Indo-European
203-139-1,203-139-1,,,Koivulehto1999,possible,Indo-European
204-139-1,204-139-1,,,Koivulehto1999,possible,Indo-European
207-139-1,207-139-1,,,Koivulehto1999,possible,Indo-European
208-139-1,208-139-1,,,Koivulehto1999,possible,Indo-European
209-139-1,209-139-1,,,Koivulehto1999,possible,Indo-European
210-139-1,210-139-1,,,Koivulehto1999,possible,Indo-European
211-139-1,211-139-1,,,Koivulehto1999,possible,Indo-European
212-139-1,212-139-1,,,Koivulehto1999,possible,Indo-European
301-139-1,301-139-1,,,Koivulehto1999,possible,Indo-European
401-139-1,401-139-1,,,Koivulehto1999,possible,Indo-European
501-139-1,501-139-1,,,Koivulehto1999,possible,Indo-European
503-139-1,503-139-1,,,Koivulehto1999,possible,Indo-European
504-139-1,504-139-1,,,Koivulehto1999,possible,Indo-European
807-139-1,807-139-1,,,Koivulehto1999,possible,Indo-European
204-139-2,204-139-2,,,MH,clear,Russian
207-139-2,207-139-2,,,MH,clear,Russian
503-139-2,503-139-2,,,KoPRSl,clear,Russian
101-141-1,101-141-1,,,Aikio2009,probable,Finnic
102-141-1,102-141-1,,,Aikio2009,probable,Finnic
104-141-1,104-141-1,,,Aikio2009,probable,Finnic
105-141-1,105-141-1,,,Aikio2009,probable,Finnic
106-141-1,106-141-1,,,Aikio2009,probable,Finnic
108-141-1,108-141-1,,,Rieler2009,clear,Baltic
301-143-1,301-143-1,,,Koivulehto1971,possible,Germanic
601-143-1,601-143-1,,,WOT,possible,West Old Turkic
401-144-3,401-144-3,,,TscherWb,clear,Chuvash
203-145-1,203-145-1,,,LAGLOS,probable,Germanic
204-145-1,204-145-1,,,LAGLOS,probable,Germanic
208-145-1,208-145-1,,,LAGLOS,probable,Germanic
209-145-1,209-145-1,,,LAGLOS,probable,Germanic
210-145-1,210-145-1,,,LAGLOS,probable,Germanic
212-145-1,212-145-1,,,LAGLOS,probable,Germanic
207-145-1,207-145-1,,,MH,clear,Russian
105-145-1,105-145-1,,,Sammallahti1998,clear,Finnic
102-145-1,102-145-1,,,Schlachter1958,clear,North Germanic
301-145-1,301-145-1,,,Holopainen2019;Koivulehto1999;CygnakinMosin2015,possible,Indo-Iranian_or_Indo-European
401-145-1,401-145-1,,,TscherWb,possible,Indo-Iranian_or_Iranian
501-145-1,501-145-1,,,Holopainen2019,clear,Indo-Iranian
504-145-1,504-145-1,,,Tarakanov1993;WotjWsch,clear,Tatar
101-145-1,101-145-1,,,Aikio2009,clear,North Germanic
101-145-2,101-145-2,,,Aikio2009,clear,North Germanic
102-145-2,102-145-2,,,Aikio2009,clear,North Germanic
106-145-1,106-145-1,,,Aikio2009,clear,North Germanic
503-145-3,503-145-3,,,KoPRSl,clear,Russian
701-145-2,701-145-2,,,DEWOS,clear,Komi
101-146-1,101-146-1,,,Sammallahti1998;SSA,clear,Finnic
102-146-1,102-146-1,,,Sammallahti1998;SSA,clear,Finnic
104-146-1,104-146-1,,,Sammallahti1998;SSA,clear,Finnic
105-146-1,105-146-1,,,Sammallahti1998;SSA,clear,Finnic
106-146-1,106-146-1,,,Sammallahti1998;SSA,clear,Finnic
106-146-2,106-146-2,,,Sammallahti1998;SSA,clear,Finnic
107-146-1,107-146-1,,,Sammallahti1998;SSA,clear,Finnic
204-146-2,204-146-2,,,MH,clear,Russian
301-146-1,301-146-1,,,MordWb,clear,Russian
401-147-1,401-147-1,,,TscherWb,possible,Chuvash
101-148-1,101-148-1,,,SSA,probable,Baltic
102-148-1,102-148-1,,,SSA,probable,Baltic
104-148-1,104-148-1,,,SSA,probable,Baltic
105-148-1,105-148-1,,,SSA,probable,Baltic
106-148-1,106-148-1,,,SSA,probable,Baltic
107-148-1,107-148-1,,,SSA,probable,Baltic
108-148-1,108-148-1,,,Rieler2009,probable,Baltic
203-148-1,203-148-1,,,Junttila2012;SSA;EES,probable,Baltic
204-148-1,204-148-1,,,Junttila2012;SSA;EES,probable,Baltic
207-148-1,207-148-1,,,Junttila2012;SSA;EES,probable,Baltic
208-148-1,208-148-1,,,Junttila2012;SSA;EES,probable,Baltic
209-148-1,209-148-1,,,Junttila2012;SSA;EES,probable,Baltic
210-148-1,210-148-1,,,Junttila2012;SSA;EES,probable,Baltic
211-148-1,211-148-1,,,Junttila2012;SSA;EES,probable,Baltic
212-148-1,212-148-1,,,Junttila2012;SSA;EES,probable,Baltic
301-148-1,301-148-1,,,SSA;EES,probable,Baltic
401-148-1,401-148-1,,,SSA;EES,probable,Baltic
701-148-1,701-148-1,,,Holopainen2019;Koivulehto1999,possible,Indo-Iranian
102-149-1,102-149-1,,,Koivulehto2001;SSA,possible,North-Western-Indo-European
