ID,Name,Concepticon_ID,Concepticon_Gloss,Definition,LJ_rank,WOLD401_500_rank,Ura100,Swadesh100,Swadesh207,Leipzig_Jakarta,WOLD401_500,Fullbasic,Swadesh200
1,fire,221,FIRE,"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat.",True,,yes,yes,yes,yes,no,yes,yes
2,nose,1221,NOSE,A generic noun for a human nose.,False,,yes,yes,yes,yes,no,yes,yes
3,go,695,GO,"A generic verb meaning 'go', i.e. move to a place away from one's current location.",False,,yes,no,no,yes,no,yes,no
4,water,948,WATER,A generic noun for (fresh) water.,False,,no,yes,yes,yes,no,yes,yes
5,mouth,674,MOUTH,A generic noun for a human mouth.,False,,yes,yes,yes,yes,no,yes,yes
6,tongue,1205,TONGUE,A generic noun for a human tongue.,False,,yes,yes,yes,yes,no,yes,yes
7,blood,946,BLOOD,A generic noun for arterial blood.,False,,yes,yes,yes,yes,no,yes,yes
8,bone,1394,BONE,"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton.",False,,yes,yes,yes,yes,no,yes,yes
9,root,670,ROOT,A generic noun for the root of a plant.,False,,no,yes,yes,yes,no,yes,yes
10,you_sg,1215,THOU,Second-person singular pronoun.,False,,yes,yes,yes,yes,no,yes,yes
11,come,1446,COME,"A generic verb for 'come', i.e. move towards a person's current location.",False,,yes,yes,yes,yes,no,yes,yes
12,breast,1402,BREAST,A generic noun for a female breast.,False,,no,yes,yes,yes,no,yes,no
13,rain,2108,RAINING OR RAIN,A generic noun for precipitation.,False,,yes,yes,yes,yes,no,yes,yes
14,I,1209,I,First-person singular pronoun.,False,,yes,yes,yes,yes,no,yes,yes
15,louse,1392,LOUSE,A generic noun for the parasitic insect of the order Phthiraptera.,False,,no,yes,yes,yes,no,yes,yes
16,name,1405,NAME,"A generic noun for 'name', i.e. the designation of a person.",False,,no,yes,yes,yes,no,yes,yes
17,wing,1257,WING,"A generic noun for 'wing', i.e. the body part of an animal used for flying or gliding.",False,,yes,no,yes,yes,no,yes,yes
18,meat,2615,FLESH OR MEAT,"A generic noun for 'meat', i.e. the edible flesh of an animal.",False,,no,yes,yes,yes,no,yes,yes
19,hand,1277,HAND,"A generic noun for 'hand', i.e. the part of the body located at the end of the arm, below the wrist.",False,,yes,yes,yes,yes,no,yes,yes
20,fly_n,1504,FLY (INSECT),A generic noun for the insect of the order Diptera.,False,,yes,no,no,yes,no,yes,no
21,night,1233,NIGHT,"A generic noun for 'night', i.e. the generally dark period of time that contrasts with 'day'.",False,,yes,yes,yes,yes,no,yes,yes
22,ear,1247,EAR,"A generic noun for 'ear', i.e. the body part used for hearing.",False,,yes,yes,yes,yes,no,yes,yes
23,far,1406,FAR,"A generic adverb for 'far', i.e. being distant from a reference point. Antonym of 'near'.",False,,no,no,yes,yes,no,yes,yes
24,neck,1333,NECK,"A generic noun for 'neck', i.e. the part of the body below the head and above the torso.",False,,no,yes,yes,yes,no,yes,yes
25,do,2575,DO OR MAKE,A generic verb for performing an unspecified action.,False,,no,no,no,yes,no,yes,no
26,house,1252,HOUSE,"A generic noun for 'house', i.e. a permanent manmade structure which serves as e.g. living quarters, meeting place, shelter or storage.",False,,no,no,no,yes,no,yes,no
27,stone,857,STONE,A generic verb for 'stone'.,False,,yes,yes,yes,yes,no,yes,yes
28,bitter,887,BITTER,"A generic adjective 'bitter', i.e. a sharp, pungent taste.",False,,yes,no,no,yes,no,yes,no
29,say,1458,SAY,"A generic verb for 'say', i.e. to express something verbally.",False,,no,yes,yes,yes,no,yes,yes
30,tooth,1380,TOOTH,"A generic noun for 'tooth', i.e. the hard white objects inside the mouth used for biting and chewing.",False,,no,yes,yes,yes,no,yes,yes
31,hair,1040,HAIR,"A generic noun for 'hair', i.e. a threadlike growth on the skin of an animal or a human.",False,,no,yes,yes,yes,no,yes,yes
