ID,Name,Concepticon_ID,Concepticon_Gloss,Definition,LJ_rank,WOLD401_500_rank,Ura100,Swadesh100,Swadesh207,Leipzig_Jakarta,WOLD401_500,Fullbasic,Swadesh200
32,big,1202,BIG,A generic adjective denoting large size. Antonym of 'small'.,False,,no,yes,yes,yes,no,yes,yes
33,one,1493,ONE,A numeral with the value 1.,False,,yes,yes,yes,yes,no,yes,yes
34,he_she,2642,HE OR SHE,Third-person singular pronoun.,False,,yes,no,yes,yes,no,yes,yes
35,who,1235,WHO,Interrogative singular personal pronoun.,False,,yes,yes,yes,yes,no,yes,yes
36,hit,1433,HIT,"A generic verb for 'hit', i.e. strike an object.",False,,no,no,yes,yes,no,yes,yes
37,foot,1301,FOOT,"A generic noun for 'foot', i.e. the part of the leg below the ankle.",False,,yes,yes,yes,yes,no,yes,yes
38,leg,1297,LEG,"A generic noun for 'leg', i.e. the part of the human body that supports the weight and is used in walking and running.",False,,yes,no,yes,yes,no,yes,yes
39,fish,227,FISH,A generic noun for a live fish.,False,,yes,yes,yes,yes,no,yes,yes
40,horn,1393,HORN (ANATOMY),"A generic noun for 'horn', i.e. the bony pointed projection on the head of various animals.",False,,no,yes,yes,yes,no,yes,no
41,this,1214,THIS,Singular form proximal demonstrative pronoun.,False,,yes,yes,yes,yes,no,yes,yes
42,yesterday,1174,YESTERDAY,A generic noun for the day before today.,False,,yes,no,no,yes,no,yes,no
43,black,163,BLACK,A generic adjective for the color black.,False,,yes,yes,yes,yes,no,yes,yes
44,drink,1401,DRINK,A generic transitive verb denoting the consumption of a liquid.,False,,no,yes,yes,yes,no,yes,yes
45,navel,1838,NAVEL,A generic noun for the navel or the belly button.,False,,no,no,no,yes,no,yes,no
46,stand,1442,STAND,"A generic verb for 'stand', i.e. remain in an upright position supported by one's feet.",False,,yes,yes,yes,yes,no,yes,yes
47,back,1291,BACK,"A generic noun for 'back, i.e. the body part situated between the buttocks and the back of the neck.",False,,no,no,yes,yes,no,yes,yes
48,bite,1403,BITE,"A generic verb for 'bite', i.e. to cut into somewhing with the teeth.",False,,no,yes,yes,yes,no,yes,yes
49,wind,960,WIND,"A generic noun for 'wind', i.e. the natural movement of air.",False,,yes,no,yes,yes,no,yes,yes
50,smoke,778,SMOKE (EXHAUST),A generic noun for smoke.,False,,yes,yes,yes,yes,no,yes,yes
51,what,1236,WHAT,Interrogative singular pronoun used with inanimate objects.,False,,yes,yes,yes,yes,no,yes,yes
52,child_kin,1801,CHILD (DESCENDANT),A generic noun for a person's son or daughter.,False,,no,no,no,yes,no,yes,no
53,egg,744,EGG,"A generic noun for 'egg', i.e. the reproductive body laid by e.g. birds.",False,,yes,yes,yes,yes,no,yes,yes
54,burn,2102,BURN,"A generic verb denoting 'burning', i.e. being on fire.",False,,no,yes,yes,yes,no,yes,yes
55,give,1447,GIVE,"A generic transitive verb denoting 'giving', i.e. handing an item to another person.",False,,no,yes,yes,yes,no,yes,yes
56,new,1231,NEW,"A generic adjective denoting 'new', i.e. recently built or created. Antonym of 'old'.",False,,yes,yes,yes,yes,no,yes,yes
57,good,1035,GOOD,A generic adjective denoting correct or proper. Antonym of 'bad'.,False,,no,yes,yes,yes,no,yes,yes
58,know,1410,KNOW (SOMETHING),A generic transitive verb denoting possessing knowledge about a topic.,False,,no,yes,yes,yes,no,yes,yes
59,not,1240,NOT,Function word used for negation (e.g. negative particle).,False,,yes,yes,yes,yes,no,yes,yes
60,knee,1371,KNEE,"A generic noun for 'knee', i.e. the joint between the thigh and the lower leg.",False,,yes,yes,yes,yes,no,yes,no
61,sand,671,SAND,"A generic noun for 'sand', i.e. the very small particles of rock covering e.g. beaches and deserts.",False,,no,yes,yes,yes,no,yes,yes
62,hear,1408,HEAR,"A generic verb for 'hear', i.e. to perceive something by the ear.",False,,yes,yes,yes,yes,no,yes,yes
63,laugh,1355,LAUGH,"A generic verb for 'laugh', i.e. to produce laughter.",False,,yes,no,yes,yes,no,yes,yes
64,earth,1228,EARTH (SOIL),"A generic noun for 'earth', i.e. the material covering the surface of the land.",False,,yes,yes,yes,yes,no,yes,yes
65,left,244,LEFT,A generic adjective denoting the left side. The opposite of 'right'.,False,,no,no,yes,no,no,yes,yes
66,red,156,RED,A generic adjective denoting the color red.,False,,no,yes,yes,yes,no,yes,yes
67,liver,1224,LIVER,"A generic noun denoting 'liver', i.e. the large organ that filters blood, detoxifies chemicals and metabolizes drugs.",False,,no,yes,yes,yes,no,yes,yes
68,hide,2486,HIDE,"A generic verb for 'hide', i.e. to conceal something.",False,,no,no,no,yes,no,yes,no
69,skin,763,SKIN,A generic noun for human skin.,False,,no,yes,yes,yes,no,yes,yes
70,suck,1421,SUCK,"A generic verb for 'suck', i.e. to draw something into the mouth with suction force produced with the lips and the tongue.",False,,yes,no,yes,yes,no,yes,yes
71,carry,700,CARRY,"A generic transitive verb for 'carry', i.e. to support and move something from one place to another.",False,,yes,no,no,yes,no,yes,no
72,ant,587,ANT,A generic noun denoting an animal belonging to the family Formicidae.,False,,yes,no,no,yes,no,yes,no
73,heavy,1210,HEAVY,"A generic adjective denoting 'heavy', i.e. having much weight. Antonym of 'light'.",False,,yes,no,yes,yes,no,yes,yes
74,take,1749,TAKE,"A generic verb for 'take', i.e. to reach for and hold something.",False,,no,no,no,yes,no,yes,no
75,old,1229,OLD,"A generic adjective denoting 'old', i.e. having being in existence for a long period of time. Antonym of 'new'.",False,,no,no,yes,yes,no,yes,yes
76,eat,1336,EAT,"A generic verb for 'eat', i.e. to consume food.",False,,yes,yes,yes,yes,no,yes,yes
77,thick,1244,THICK,"A generic adjective denoting 'thick', i.e. having opposite sides or surfaces relatively far apart. Antonym of 'thin'.",False,,yes,no,yes,yes,no,yes,yes
78,thigh,800,THIGH,"A generic noun for 'thigh', i.e. the part of the human body situated between the hip and the knee.",False,,no,no,no,yes,no,yes,no
79,long,1203,LONG,"A generic adjective for 'long', i.e. having a great distance from end to end. Antonym of 'short'.",False,,no,yes,yes,yes,no,yes,yes
80,blow,175,BLOW (OF WIND),"A generic verb for 'blow', i.e. to expel air (with mouth).",False,,yes,no,yes,yes,no,yes,yes
81,tree,906,TREE,A generic noun for large woody perennial plants.,False,,yes,yes,yes,yes,no,yes,yes
82,fall,1280,FALL,"A generic verb for 'fall', i.e. move from a higher level to a lower level, generally rapidly and without control.",False,,no,no,yes,yes,no,yes,yes
83,run,1519,RUN,"A generic verb for 'run', i.e. move rapidly using one's legs.",False,,yes,no,no,yes,no,yes,no
84,eye,1248,EYE,"A generic noun for 'eye', i.e. the body part used for seeing.",False,,yes,yes,yes,yes,no,yes,yes
85,ashes,646,ASH,"A generic noun for 'ashes', i.e. the powdery residue that remains after a substance has burned.",False,,no,yes,yes,yes,no,yes,yes
86,dog,2009,DOG,A generic noun for domesticated canids.,False,,yes,yes,yes,yes,no,yes,yes
87,tail,1220,TAIL,"A generic noun for 'tail', i.e. the rear part of some animals.",False,,yes,yes,yes,yes,no,yes,yes
88,weep,1839,CRY,"A generic verb for 'cry', i.e. express sorrow or other strong emotion by shedding tears.",False,,no,no,no,yes,no,yes,no
89,tie,1917,TIE,"A generic verb for 'tie', i.e. fasten something with e.g. string, rope or cord.",False,,no,no,yes,yes,no,yes,yes
90,see,1409,SEE,"A generic verb for 'see', i.e. perceive something visually.",False,,no,yes,yes,yes,no,yes,yes
91,sweet,717,SWEET,"A generic adjective 'sweet', i.e. having a taste characteristic of sugar or honey.",False,,no,no,no,yes,no,yes,no
92,bird,937,BIRD,"A generic noun for 'bird', i.e. a member of the vertebrate class Aves.",False,,no,yes,yes,yes,no,yes,yes
93,rope,1218,ROPE,"A generic noun for 'rope', i.e. a thick cord made by twisting or braiding smaller strands together.",False,,no,no,yes,yes,no,yes,yes
94,salt,1274,SALT,"A generic noun for 'salt', i.e. the mineral composed mainly of NaCl, used in preparing or preserving food.",False,,no,no,yes,yes,no,yes,yes
95,shadow,1388,SHADE,"A generic noun for 'shadow', i.e. the dark area formed by an opaque object blocking the light source.",False,,no,no,no,yes,no,yes,no
96,small,1246,SMALL,"A generic adjective for 'small', i.e. not being large in size. Antonym of 'big' and 'large'.",False,,no,yes,yes,yes,no,yes,yes
97,wide,1243,WIDE,"A generic adjective for 'wide', i.e. measuring a large distance from one side to another. Antonym of 'narrow'.",False,,no,no,yes,yes,no,yes,yes
98,in,1460,IN,A generic word used to denote being situated within something.,False,,no,no,yes,yes,no,yes,yes
99,star,1430,STAR,"A generic noun denoting 'star', i.e. the luminous objects visible in the sky at night.",False,,no,yes,yes,yes,no,yes,yes
100,hard,1884,HARD,"A generic adjective for 'hard', i.e. firm or solid. Antonym of 'soft'.",False,,yes,no,no,yes,no,yes,no
101,crush,1033,GRIND,"A generic verb for 'crush', i.e. break something into small pieces by rubbing it against a rough surface.",False,,no,no,no,yes,no,yes,no
102,all,98,ALL,A quantifier referring to a group or a thing in its entirety.,False,,no,yes,yes,no,no,yes,yes
103,and,1577,AND,"The conjunction used to e.g. connect words of the same part of speech together, as in 'salt and pepper'.",False,,no,no,yes,no,no,yes,yes
104,animal,619,ANIMAL,"A generic noun for 'animal', i.e. any living and moving organism (not a human being).",False,,no,no,yes,no,no,yes,yes
105,at,1461,AT,"Adpositional marker expressing location, as in 'at a train station.",False,,yes,no,yes,no,no,yes,yes
106,bad,1292,BAD,"A generic adjective for 'bad', i.e. unpleasant or unwelcome. Antonym of 'good'.",False,,no,no,yes,no,no,yes,yes
107,because,1157,BECAUSE,"Conjunction in the meaning 'because', used to introduce a phrase that provides an explation or reasoning.",False,,yes,no,yes,no,no,yes,yes
108,belly,1251,BELLY,A generic noun for the stomach.,False,,no,yes,yes,no,no,yes,yes
109,berry,904,BERRY,"A generic noun for 'berry', i.e. a small, pulpy fruit.",False,,no,no,yes,no,no,yes,yes
110,breathe,1407,BREATHE,"A generic verb for 'breathe', i.e. inhale and exhale air.",False,,no,no,yes,no,no,yes,yes
111,child,2099,CHILD,A generic noun for any infant human being (regardless of family relationship).,False,,no,no,yes,no,no,yes,yes
112,claw_nail,72,CLAW,A generic noun for a claw or a fingernail.,False,,yes,yes,yes,no,no,yes,no
113,cloud,1489,CLOUD,A generic noun for a cloud.,False,,yes,yes,yes,no,no,yes,yes
114,cold,1287,COLD,"A generic adjective 'cold', i.e. having low temperature. Antonym of 'hot'.",False,,yes,yes,yes,no,no,yes,yes
115,count,1420,COUNT,"A generic verb for 'count', i.e. determine the total number of something.",False,,no,no,yes,no,no,yes,yes
116,cut,1432,CUT,"A generic verb for 'cut', i.e. make an incision into something using a sharp instrument.",False,,no,no,yes,no,no,yes,yes
117,day,1225,DAY (NOT NIGHT),"A generic noun for 'day', i.e. the light period of time that is the opposite of 'night'.",False,,yes,no,yes,no,no,yes,yes
118,die,1494,DIE,"A generic verb for 'die', i.e. to cease living.",False,,yes,yes,yes,no,no,yes,yes
119,dig,1418,DIG,"A generic verb for 'dig', i.e. move earth in order to create a hole.",False,,no,no,yes,no,no,yes,yes
120,dry,1398,DRY,"A generic adjective 'dry', i.e. being without moisture. Antonym of 'wet'.",False,,yes,yes,yes,no,no,yes,yes
121,dust,2,DUST,"A generic noun for 'dust', i.e. fine particles of waste that accumulate on surfaces or are carried in the air.",False,,no,no,yes,no,no,yes,yes
122,fat,323,FAT (ORGANIC SUBSTANCE),A generic noun for animal fat.,False,,no,yes,yes,no,no,yes,yes
123,father,1217,FATHER,"A generic noun for 'father', i.e. a man in relation to his child or children.",False,,no,no,yes,no,no,yes,yes
124,fear,1419,FEAR (BE AFRAID),"A generic verb for 'fear', i.e. to be afraid of something.",False,,yes,no,yes,no,no,yes,yes
125,feather,1201,FEATHER,"A generic noun for 'feather', i.e. the appendages that form a bird's plumage.",False,,no,yes,yes,no,no,yes,yes
126,few,1242,FEW,"A generic term denoting 'few', i.e. a small number of something. Antonym of 'many'.",False,,no,no,yes,no,no,yes,yes
127,fight,1423,FIGHT,"A generic verb for 'fight', i.e. participate in a struggle.",False,,yes,no,yes,no,no,yes,yes
128,five,493,FIVE,A numeral with the value 5.,False,,yes,no,yes,no,no,yes,yes
129,float,1574,FLOAT,"A generic verb for 'float', i.e. move or hover in liquid or air.",False,,yes,no,yes,no,no,yes,yes
130,flow,2003,FLOW,"A generic verb for 'flow', i.e. move continuously in a current or a stream.",False,,no,no,yes,no,no,yes,yes
131,flower,239,FLOWER,A generic noun for any flower.,False,,no,no,yes,no,no,yes,yes
132,fly,1441,FLY (MOVE THROUGH AIR),"A generic verb for 'fly', i.e. move through the air (often using wings).",False,,yes,yes,yes,no,no,yes,yes
133,fog,249,FOG,"A generic noun for 'fog', i.e. a thick cloud of water droplets suspended near the earth's surface.",False,,no,no,yes,no,no,yes,yes
134,four,1500,FOUR,A numeral with the value 4.,False,,yes,no,yes,no,no,yes,yes
135,freeze,1431,FREEZE,"A generic verb for 'freeze', i.e. harden into ice in cold temperature.",False,,yes,no,yes,no,no,yes,yes
136,full,1429,FULL,"A generic adjective for 'full', i.e. having no empty space. Antonym of 'empty'.",False,,no,yes,yes,no,no,yes,no
137,grass,606,GRASS,"A generic noun for 'grass', i.e. vegetation consisting of short plants with narrow leaves.",False,,no,no,yes,no,no,yes,yes
138,green,1425,GREEN,A generic adjective for the color green.,False,,no,yes,yes,no,no,yes,yes
139,guts,1334,GUTS,A generic noun for the inner organs of the lower torso.,False,,yes,no,yes,no,no,yes,yes
140,head,1256,HEAD,"A generic noun for 'head', i.e. the body part above the neck.",False,,yes,yes,yes,no,no,yes,yes
141,heart,1223,HEART,"A generic noun for 'heart', i.e. the body part responsible for pumping blood.",False,,yes,yes,yes,no,no,yes,yes
142,here,136,HERE,A generic adverbial for proximal location.,False,,yes,no,yes,no,no,yes,yes
143,hold,1448,HOLD,"A generic verb for 'hold', i.e. grasp, carry or support something with one's arms.",False,,yes,no,yes,no,no,yes,yes
144,how,1239,HOW,Interrogative denoting 'in what manner'.,False,,yes,no,yes,no,no,yes,yes
145,husband,1200,HUSBAND,"A generic noun for 'husband', i.e. a married man in relation to his spouse.",False,,no,no,yes,no,no,yes,yes
146,if,1459,IF,"Conjunction introducing a conditional clause, comparable to English 'if'.",False,,no,no,yes,no,no,yes,yes
147,kill,1417,KILL,"A generic verb for 'kill', i.e. take someone's life.",False,,yes,yes,yes,no,no,yes,yes
148,lake,624,LAKE,A generic noun for a lake.,False,,yes,no,yes,no,no,yes,yes
149,leaf,628,LEAF,A generic noun for a leaf.,False,,no,yes,yes,yes,no,yes,yes
150,lie,215,LIE DOWN,"A generic verb for 'lie down', i.e. rest horizontally on the ground.",False,,no,yes,yes,no,no,yes,yes
151,live,1422,BE ALIVE,"A generic verb for 'live', i.e. to remain alive.",False,,yes,no,yes,no,no,yes,yes
152,many,1198,MANY,"A generic quantifier for 'many', i.e. a large number of. Antonym of 'few'.",False,,no,yes,yes,no,no,yes,yes
153,moon,1313,MOON,A generic noun for the moon.,False,,no,yes,yes,no,no,yes,no
154,mother,1216,MOTHER,"A generic noun for 'mother', i.e. a woman in relation to her child or children.",False,,no,no,yes,no,no,yes,yes
155,mountain,639,MOUNTAIN,A generic noun for a mountain.,False,,no,yes,yes,no,no,yes,yes
156,narrow,1267,NARROW,A generic adjective for 'narrow'.,False,,no,no,yes,no,no,yes,yes
157,near,1942,NEAR,"A generic adverbial for 'near', i.e. close to the speaker. Antonym of 'far'.",False,,yes,no,yes,no,no,yes,yes
158,other,197,OTHER,"A pronoun for 'other', referring to a different entity than the one already mentioned.",False,,yes,no,yes,no,no,yes,yes
159,play,1413,PLAY,"A generic verb for 'play', i.e. engage in recreational activity or participate in a game or a sport.",False,,no,no,yes,no,no,yes,yes
160,pull,1455,PULL,A generic verb for 'pull'.,False,,no,no,yes,no,no,yes,yes
161,push,1452,PUSH,A generic verb for 'push'.,False,,no,no,yes,no,no,yes,yes
162,rightside,1019,RIGHT,A generic adjective denoting the right side. The opposite of 'left'.,False,,yes,no,yes,no,no,yes,yes
163,right,1725,CORRECT (RIGHT),A generic adjective denoting correct or proper.,False,,no,no,yes,no,no,yes,yes
164,river,666,RIVER,A generic noun for a river.,False,,yes,no,yes,no,no,yes,yes
165,road,667,ROAD,A generic noun for a road of any kind.,False,,no,yes,yes,no,no,yes,yes
166,round,1395,ROUND,"A generic adjective for 'round', i.e. shaped like a cylinder or a sphere.",False,,no,yes,yes,no,no,yes,no
167,rub,1449,RUB,"A generic verb for 'rub', i.e. to move e.g. one's hand back and forth along a surface while applying pressure.",False,,no,no,yes,no,no,yes,yes
168,scratch,1436,SCRATCH,"A generic verb for 'scratch', i.e. to score the surface of something with something sharp.",False,,no,no,yes,no,no,yes,yes
169,sea,1474,SEA,A generic noun for 'sea'.,False,,no,no,yes,no,no,yes,yes
170,seed,714,SEED,A generic noun for a seed of a plant.,False,,no,yes,yes,no,no,yes,yes
171,sew,1457,SEW,"A generic verb for 'sew', i.e. to join something by making stitches with a needle.",False,,yes,no,yes,no,no,yes,yes
172,sharp,1396,SHARP,"A generic adjective for 'sharp', i.e. having a pointy edge capable of cutting or a fine point capable of piercing.",False,,no,no,yes,no,no,yes,yes
173,sing,1261,SING,A generic verb for 'sing'.,False,,no,no,yes,no,no,yes,yes
174,sit,1416,SIT,"A generic verb for 'sit', i.e. to remain in a sitting position.",False,,no,yes,yes,no,no,yes,yes
175,sky,1732,SKY,A generic noun for the sky.,False,,no,no,yes,no,no,yes,yes
176,sleep,1585,SLEEP,A generic verb for 'sleep'.,False,,no,yes,yes,no,no,yes,yes
177,smell,2124,SMELL,"A generic verb for 'smell', i.e. to perceive odour.",False,,no,no,yes,no,no,yes,yes
178,smooth,1234,SMOOTH,A generic adjective for 'smooth'. Antonym of 'rough'.,False,,no,no,yes,no,no,yes,yes
179,snake,730,SNAKE,A generic noun for a reptile of the suborder Serpentes.,False,,no,no,yes,no,no,yes,yes
180,snow,784,SNOW,A generic noun for (all kinds of) snow.,False,,no,no,yes,no,no,yes,yes
181,spit,1440,SPIT,"A generic verb for 'spit', i.e. to eject saliva.",False,,yes,no,yes,no,no,yes,yes
182,split,1437,SPLIT,"A generic verb for 'split', i.e. to forcibly break into parts.",False,,yes,no,yes,no,no,yes,yes
183,squeeze,1414,SQUEEZE,"A generic verb for 'squeeze', i.e. to firmly press something (with the fingers).",False,,no,no,yes,no,no,yes,yes
184,stick,1295,STICK,A generic noun for a thin piece of wood that has fallen or been cut off a tree.,False,,no,no,yes,no,no,yes,yes
185,straight,1404,STRAIGHT,"A generic adjective for 'straight', i.e. extending uniformly in one direction.",False,,no,no,yes,no,no,yes,yes
186,sun,1343,SUN,A generic noun for the sun.,False,,yes,yes,yes,no,no,yes,yes
187,swell,1573,SWELL,"A generic verb for 'swell', i.e. to become larger or rounder in size.",False,,no,no,yes,no,no,yes,yes
188,swim,1439,SWIM,"A generic noun for 'swim', i.e. propel the body through water.",False,,yes,yes,yes,no,no,yes,yes
189,that,78,THAT,Distal demonstrative pronoun.,False,,yes,yes,yes,no,no,yes,yes
190,there,1937,THERE,A generic adverbial denoting distal location.,False,,yes,no,yes,no,no,yes,yes
191,thin,2308,THIN,"A generic adjective for 'thin', i.e. with opposite surfaces close to each other. Antonym of 'thick'.",False,,yes,no,yes,no,no,yes,yes
192,think,2271,THINK,"A generic verb for 'think', i.e. to use one's mind.",False,,no,no,yes,no,no,yes,yes
193,three,492,THREE,A numeral with the value 3.,False,,yes,no,yes,no,no,yes,yes
194,throw,1456,THROW,"A generic verb for 'throw', i.e. to propel something through the air with one's hand.",False,,yes,no,yes,no,no,yes,yes
195,turn,1588,TURN,"A generic verb for 'turn', i.e. to revolve around an axis.",False,,no,no,yes,no,no,yes,yes
196,two,1498,TWO,A numeral with the value 2.,False,,yes,yes,yes,no,no,yes,yes
197,vomit,1278,VOMIT,"A generic verb for 'vomit', i.e. to eject matter from the stomach through the mouth.",False,,yes,no,yes,no,no,yes,yes
198,walk,1443,WALK,"A generic verb for 'walking', i.e. moving at a normal pace using one's feet.",False,,no,yes,yes,no,no,yes,yes
199,warm,1232,WARM,"A generic adjective for 'warm', i.e. of a fairly high temperature.",False,,yes,yes,yes,no,no,yes,yes
200,wash,1453,WASH,"A generic verb for 'wash', i.e. to clean something with water (and potentially soap).",False,,no,no,yes,no,no,yes,yes
201,we,1212,WE,First person plural pronoun.,False,,yes,yes,yes,no,no,yes,yes
202,wet,1726,WET,"A generic adjective for 'wet', i.e. not dry.",False,,no,no,yes,no,no,yes,yes
203,when,1238,WHEN,"A generic temporal interrogative adverb, i.e. an adverb matching the English meaning 'when'.",False,,yes,no,yes,no,no,yes,yes
204,where,1237,WHERE,"A generic interrogative adverb of place, i.e. an adverb matching the English meaning 'where'.",False,,yes,no,yes,no,no,yes,yes
205,white,1335,WHITE,A generic adjective for the color white.,False,,no,yes,yes,no,no,yes,yes
206,wipe,1454,WIPE,"A generic verb for 'wipe', i.e. to clean something by rubbing with e.g. a cloth.",False,,no,no,yes,no,no,yes,yes
207,with,1340,WITH,A generic noun modifier with the meaning 'accompanied by'.,False,,no,no,yes,no,no,yes,yes
208,woman,962,WOMAN,"A generic noun for 'woman', i.e. a female human.",False,,no,yes,yes,no,no,yes,yes
209,woods,420,FOREST,A generic noun for a woods or a forest.,False,,no,no,yes,no,no,yes,yes
210,worm,1219,WORM,"A generic noun for invertebrates with elongated cylindrical bodies, such as earthworms.",False,,no,no,yes,no,no,yes,yes
211,year,1226,YEAR,A generic noun for 'year'.,False,,yes,no,yes,no,no,yes,yes
212,yellow,1424,YELLOW,A generic adjective for the color yellow.,False,,no,yes,yes,no,no,yes,yes
213,you_pl,1213,YOU,Third person plural pronoun.,False,,yes,no,yes,no,no,yes,yes
214,raise_lift,501,LIFT,"A generic verb for 'raise', i.e. to lift something to a higher position.",False,401,no,no,no,no,yes,no,no
215,behind,1686,BEHIND,A generic adverbial meaning 'at the far side of'.,False,402,no,no,no,no,yes,no,no
216,untie,352,UNTIE,A generic verb for 'untie'.,False,403,no,no,no,no,yes,no,no
217,they,817,THEY,Third person plural pronoun.,False,404,yes,no,yes,no,yes,yes,yes
218,cut_down,355,CUT DOWN,A generic verb denoting 'to cut through something to make it fall on the ground'.,False,405,no,no,no,no,yes,no,no
219,ten,1515,TEN,A numeral with the value 10.,False,406,no,no,no,no,yes,no,no
220,mosquito,1509,MOSQUITO,A generic noun for an insect of the family Culicidae.,False,407,no,no,no,no,yes,no,no
221,heel,980,HEEL,"A generic noun for a heel, i.e. the back part of the foot below the ankle.",False,408,no,no,no,no,yes,no,no
222,trap,1170,TRAP (CATCH),A generic noun for a trap.,False,409,no,no,no,no,yes,no,no
223,light,737,LIGHT (IGNITE),"A generic verb for 'light', i.e. to ignite.",False,410,no,no,no,no,yes,no,no
224,salty,1091,SALTY,"A generic adjective for 'salty', i.e. tasting of salt.",False,411,no,no,no,no,yes,no,no
225,rotten,1728,ROTTEN,"A generic adjective for rotten, decayed.",False,412,no,no,yes,no,yes,yes,yes
226,nine,1483,NINE,A numeral with the value 9.,False,413,no,no,no,no,yes,no,no
227,cooked,269,COOKED,A generic adjective for 'cooked'.,False,414,no,no,no,no,yes,no,no
228,word,1599,WORD,A generic noun for 'word'.,False,415,no,no,no,no,yes,no,no
229,bark_n,1204,BARK,"A generic noun for 'bark', i.e. the outermost layer of a tree.",False,416,no,yes,yes,no,yes,yes,yes
230,gather,7,GATHER,"A generic verb for 'gather', i.e. to collect or accumulate something.",False,417,no,no,no,no,yes,no,no
231,fox,1312,FOX,A generic noun for a mammal of the genus Vulpes.,False,418,no,no,no,no,yes,no,no
232,twist,3199,TWIST (AROUND),"A generic verb for 'twist', i.e. to deform something by bending or turning.",False,419,no,no,no,no,yes,no,no
233,bake,183,BAKE,"A generic verb for 'bake', i.e. to cook e.g. bread with dry heat.",False,420,no,no,no,no,yes,no,no
234,pick_up,371,PICK UP,"A generic verb for 'pick up', i.e. to take hold of something.",False,421,no,no,no,no,yes,no,no
