ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,item_UPA,item_IPA,form_set,etym_notes,glossing_notes
101-10-1,,101,10,datne,datne,,,NSsNdb,10-a,,,,,,1,,
102-10-1,,102,10,dådˈna,dådˈna,,,WbWlap,10-a,,,,,,1,,
104-10-1,,104,10,dån,dån,,,EZ,10-a,,,,,,1,,
105-10-1,,105,10,don,don,,,SSSg,10-a,,,,,,1,,
106-10-1,,106,10,tun,tun,,,InsSSk,10-a,,,,,,1,,
107-10-1,,107,10,ton,ton,,,SKosSk,10-a,,,,,,1,,
108-10-1,,108,10,tōnn,tōnn,,,WOLD,10-a,,,,,toːnː,1,,
203-10-1,,203,10,sinä,sinä,,,JL,10-a,,,,,sinæ,1,,
204-10-1,,204,10,"sie, sinä",sie,,,KKSV,10-a,,,,,,1,,
204-10-2,,204,10,"sie, sinä",sinä,,,KKSV,10-a,,,,,,1,,
207-10-1,,207,10,"śä, sińä",śä,,,VVS,10-a,,,,,,1,,
207-10-2,,207,10,"śä, sińä",sińä,,,VVS,10-a,,,,,,1,,
208-10-1,,208,10,siä,siä,,,InkmSk,10-a,,,,siä,siæ ,1,,
209-10-1,,209,10,siä,siä,,,VKJMS,10-a,,,,siä,siæ ,1,,
210-10-1,,210,10,"sa, sina",sa,,,SVSk,10-a,,,,,"sɑ, sinɑ",1,,
210-10-2,,210,10,"sa, sina",sina,,,SVSk,10-a,,,,,"sɑ, sinɑ",1,,
211-10-1,,211,10,"sag, sina, sinno",sag,,,VESr,10-a,,,,,,1,,
211-10-2,,211,10,"sag, sina, sinno",sina,,,VESr,10-a,,,,,,1,,
211-10-3,,211,10,"sag, sina, sinno",sinno,,,VESr,10-a,,,,,,1,,
212-10-1,,212,10,"sa, sinā",sa,,,LivWb,10-a,,,,,,1,,
212-10-2,,212,10,"sa, sinā",sinā,,,LivWb,10-a,,,,,,1,,
301-10-1,,301,10,ton,ton,,,MordWb,10-a,,,,ton,ton ,1,,
401-10-1,,401,10,tə̑j,tə̑j,,,SMSk;TscherWb,10-a,,,,tə̑j,tə̠j ,1,,
501-10-1,,501,10,te,te,,,SyrjWsch,10-a,,,,te,te,1,,
503-10-1,,503,10,te,te,,,KoPRSl,10-a,,,,te,te,1,,
504-10-1,,504,10,ton,ton,,,WotjWsch,10-a,,,,ton,ton ,1,,
601-10-1,,601,10,te,te,,,FMSz,10-a,,,,,tɛ,1,,
901-10-1,,901,10,tənə,tənə,,,SlNgaRus,10-a,,,,tənə,tənə ,1,,
907-10-1,,907,10,tan,tan,,,SolkWb,10-a,,,,tan,tɑn ,1,,
701-10-1,,701,10,naŋ,naŋ,,,WogWb,10-b,,,,naŋ,nɑŋ ,2,,
807-10-1,,807,10,nö̆ŋ,nö̆ŋ,,,DEWbOstj,10-b,,,,nö̆ŋ,nø̆ŋ ,2,,
902-10-1,,902,10,pidər°,pidər°,,,JurSWb,10-c,,,,,,3,,
203-100-1,,203,100,kova,kova,,,JL,100-a,,,,,ko̞ʋɑ,1,,
204-100-1,,204,100,kova,kova,,,KKSV,100-a,,,,,,1,,
207-100-1,,207,100,kova,kova,,,VVS,100-a,,,,,,1,,
208-100-1,,208,100,kova,kova,,,InkmSk,100-a,,,,kova,kovɑ ,1,,
209-100-1,,209,100,ke̮va,ke̮va,,,VKJMS,100-a,,,,ke̮va,kɤvɑ ,1,,
210-100-1,,210,100,kõva,kõva,,,SVSk,100-a,,,,,kɤvɑ ,1,,
211-100-1,,211,100,kõva,kõva,,,VESr,100-a,,,,,,1,,
212-100-1,,212,100,ke̮vā,ke̮vā,,,LivWb,100-a,,,,,,1,,
101-100-1,,101,100,garre,garre,,,NSsNdb,100-b,,,,,,2,,
102-100-1,,102,100,garras,garras,,,WbWlap,100-b,,,,,,2,,
104-100-1,,104,100,garra,garra,,,EZ,100-b,,,,,,2,,
105-100-1,,105,100,garas,garas,,,SSSg,100-b,,,,,,2,,
106-100-1,,106,100,kooras,kooras,,,InsSSk,100-b,,,,,,2,,
107-100-1,,107,100,kõõrâs,kõõrâs,,,SKosSk,100-b,,,,,,2,,
108-100-1,,108,100,kērr,kērr,,,WOLD,100-b,,,,,keːrː,2,,
301-100-1,,301,100,kalgodo,kalgodo,,,MordWb,100-c,,,,kalgodo,kɑlgodo,3,,
401-100-1,,401,100,peškə̑δe,peškə̑δe,,,SMSk;TscherWb,100-d,,,,peškə̑δe,peʃkə̠ðe ,4,,
501-100-1,,501,100,ćori̮d,ćori̮d,,,SyrjWsch,100-e,,,,ćori̮d,ʨorɯd,5,"From PFP (PU?) *ćarV 'hard, strong'",
503-100-1,,503,100,ćori̮t,ćori̮t,,,KoPRSl,100-e,,,,ćori̮t,ʨorɯt,5,"From PFP (PU?) *ćarV 'hard, strong'",
504-100-1,,504,100,ćuri̮t,ćuri̮t,,,WotjWsch,100-e,,,,ćuri̮t,ʨurɯt,5,"From PFP (PU?) *ćarV 'hard, strong'",
0-100-1,,0,100,*kämä ?,*kämä ?,,,UEW;Sam88,100-f,,,,,,6,,
301-100-2,,301,100,keme,keme,,,MordWb,100-f,,,,keme,keme ,6,,
601-100-1,,601,100,kemény,kemény,,,FMSz,100-f,,,,,kɛmeːɲ,6,,
701-100-1,,701,100,ńaŋra,ńaŋra,,,WogWb,100-g,,,,ńaŋra,ɲɑŋrɑ,7,,
807-100-1,,807,100,serɜ,serɜ,,,DEWbOstj,100-h,,,,serə,serə ,8,,
401-100-2,,401,100,peŋgə̑δe,peŋgə̑δe,,,SMSk;TscherWb,100-i,,,,peŋgə̑δe,peŋgə̠ðe ,9,,
907-100-1,,907,100,śarə,śarə,,,SolkWb,100-j,,,,śarə,ɕɑrə ,10,,
902-100-1,,902,100,yabtyiy° ~ yabtiy°,yabtyiy° ~ yabtiy°,,,JurSWb,100-k,,,,,,11,,
401-100-3,,401,100,čotkə̑do,čotkə̑do,,,SMSk;TscherWb,100-l,,,,čotkə̑do,ʧotkə̠do,12,,
208-100-2,,208,100,kalpia,kalpia,,,InkmSk,100-m,,,,kalpia,kɑlpiɑ,13,,
208-100-3,,208,100,valju,valju,,,InkmSk,100-n,,,,valju,vɑlju,14,,
209-100-2,,209,100,kaŋka,kaŋka,,,VKJMS,100-o,,,,kaŋka,kɑŋkɑ,15,,
101-100-2,,101,100,tjamke,tjamke,,,NSsNdb,100-p,,,,,,16,,
104-100-2,,104,100,tjavvga,tjavvga,,,EZ,100-p,,,,,,16,,
901-100-1,,901,100,dʹanti̮ə,dʹanti̮ə,,,SlNgaRus,100-q,,,,dʹanti̮ə,dʲɑntɯə,17,,
901-100-2,,901,100,nosəgə̄,nosəgə̄,,,SlNgaRus,100-r,,,,nosəgə̄,nosəgəː,18,,
901-100-3,,901,100,tujmuə,tujmuə,,,SlNgaRus,100-s,,,,tujmuə,tujmuə,19,,
0-101-1,,0,101,[Not reconstructable],,,,UEW;Sam88,101-?,,,,,,?,[Not reconstructable],
102-101-1,,102,101,[Form not found],,,,WbWlap,101-?,,,,,,?,[Form not found],
104-101-1,,104,101,[Form not found],,,,EZ,101-?,,,,,,?,[Form not found],
203-101-1,,203,101,murskata,murskata,,,JL,101-a,,,,,murskɑt̪ɑ,1,,
203-101-2,,203,101,jauhaa,jauhaa,,,JL,101-b,,,,,jɑuɦɑː,2,,
204-101-1,,204,101,jauhuo,jauhuo,,,KKSV,101-b,,,,,,2,,
207-101-1,,207,101,jauhta,jauhta,,,VVS,101-b,,,,,,2,,
208-101-1,,208,101,jauhoja,jauhoja,,,InkmSk,101-b,,,,jauhoja,jɑuhojɑ ,2,,
209-101-1,,209,101,javama,javama,,,VKJMS,101-b,,,,javama,jɑvɑmɑ,2,,
210-101-1,,210,101,jahvatada,jahvatada,,,SVSk,101-b,,,,,jɑhvɑtːɑtɑ,2,,
211-101-1,,211,101,jauhma,jauhma,,,VESr,101-b,,,,,,2,,
212-101-1,,212,101,joʾuvə,joʾuvə,,,LivWb,101-b,,,,,,2,,
301-101-1,,301,101,"jažams, jažavtoms",jažams,,,MordWb,101-b,,,,"jažams, jažavtoms","jɑʒɑms, jɑʒɑvtoms ",2,,
301-101-2,,301,101,"jažams, jažavtoms",jažavtoms,,,MordWb,101-b,,,,"jažams, jažavtoms","jɑʒɑms, jɑʒɑvtoms ",2,,
401-101-1,,401,101,"joŋə̑štem, joŋə̑žem",joŋə̑štem,,,SMSk;TscherWb,101-b,,,,"joŋə̑štem, joŋə̑žem","joŋə̠ʃtem, joŋə̠ʒem ",2,,'Grind'
401-101-2,,401,101,"joŋə̑štem, joŋə̑žem",joŋə̑žem,,,SMSk;TscherWb,101-b,,,,"joŋə̑štem, joŋə̑žem","joŋə̠ʃtem, joŋə̠ʒem ",2,,'Grind'
204-101-2,,204,101,murentoa,murentoa,,,KKSV,101-c,,,,,,3,,
210-101-2,,210,101,purustada,purustada,,,SVSk,101-d,,,,,purustːɑtɑ,4,,
211-101-2,,211,101,purutama,purutama,,,VESr,101-d,,,,,,4,,
212-101-2,,212,101,suʾrrə,suʾrrə,,,LivWb,101-e,,,,,,5,"Cogn. with Fin ""survoa"" 'cram, mash'",
105-101-1,,105,101,milˈlet,milˈlet,,,SSSg,101-f,,,,,,6,,'Grind (primarily coffee)'
106-101-1,,106,101,millođ,millođ,,,InsSSk,101-f,,,,,,6,,
108-101-1,,108,101,mielle,mielle,,,WOLD,101-f,,,,,mielːe,6,,
101-101-1,,101,101,måaladidh,måaladidh,,,NSsNdb,101-g,,,,,,7,,
105-101-2,,105,101,molˈlet,molˈlet,,,SSSg,101-g,,,,,,7,,
107-101-1,,107,101,maaʹlˈjed,maaʹlˈjed,,,SKosSk,101-g,,,,,,7,,
401-101-3,,401,101,tə̑ɣə̑δemδem,tə̑ɣə̑δemδem,,,SMSk;TscherWb,101-h,,,,tə̑ɣə̑δemδem,tə̠ɣə̠ðemðem,8,"Deriv. from ""tə̑ɣə̑δe"" 'fine, small-grained'",
401-101-4,,401,101,"laštə̑rtem, laštə̑rɣem",laštə̑rtem,,,SMSk;TscherWb,101-i,,,,"laštə̑rtem, laštə̑rɣem","lɑʃtə̠rtem, lɑʃtə̠rɣem ",9,,'Crush'
401-101-5,,401,101,"laštə̑rtem, laštə̑rɣem",laštə̑rɣem,,,SMSk;TscherWb,101-i,,,,"laštə̑rtem, laštə̑rɣem","lɑʃtə̠rtem, lɑʃtə̠rɣem ",9,,'Crush'
501-101-1,,501,101,"ize̮dni̮, izni̮",ize̮dni̮,,,SyrjWsch,101-j,,,,"ize̮dni̮, izni̮","izɤdnɯ, iznɯ",10,"Deriv. from ""iz"" 'stone'",
501-101-2,,501,101,"ize̮dni̮, izni̮",izni̮,,,SyrjWsch,101-j,,,,"ize̮dni̮, izni̮","izɤdnɯ, iznɯ",10,"Deriv. from ""iz"" 'stone'",
503-101-1,,503,101,izni̮,izni̮,,,KoPRSl,101-j,,,,izni̮,iznɯ ,10,"Deriv. from ""iz"" 'stone'",
501-101-3,,501,101,maikni̮,maikni̮,,,SyrjWsch,101-k,,,,maikni̮,mɑiknɯ,11,,
504-101-1,,504,101,ńelʹki̮ni̮,ńelʹki̮ni̮,,,WotjWsch,101-l,,,,ńelʹki̮ni̮,ɲeʎkɯnɯ ,12,,"'Crush, cram'"
601-101-1,,601,101,őröl,őröl,,,FMSz,101-m,,,,,øːrøl,13,,'Grind'
601-101-2,,601,101,darál,darál,,,FMSz,101-n,,,,,dɒraːl,14,,'Grind'
701-101-1,,701,101,sāŋχwi ~ sāŋki,sāŋχwi ~ sāŋki,,,WogWb,101-o,,,,"sāŋχwi, sāŋki","sɑːŋχwi, sɑːŋki ",15,,
807-101-1,,807,101,"roɣǝ-, rö̆ɣət-",roɣǝ-,,,DEWbOstj,101-p,,,,"roɣə-, rö̆ɣət-","roɣə-, rø̆ɣət- ",16,,
807-101-2,,807,101,"roɣǝ-, rö̆ɣət-",rö̆ɣət-,,,DEWbOstj,101-p,,,,"roɣə-, rö̆ɣət-","roɣə-, rø̆ɣət- ",16,,
902-101-1,,902,101,nyəyəlcy°,nyəyəlcy°,,,JurSWb,101-q,,,,,,17,,
907-101-1,,907,101,kosəl-,kosəl-,,,SolkWb,101-r,,,,kosəl-,kosəl-,18,,
601-101-3,,601,101,"összezúz, szétzúz",összezúz,,,FMSz,101-s,,,,,"øsːɛzuːz, seːtzuːz",19,,'Crush'
601-101-4,,601,101,"összezúz, szétzúz",szétzúz,,,FMSz,101-s,,,,,"øsːɛzuːz, seːtzuːz",19,,'Crush'
503-101-2,,503,101,kre̮šitni̮,kre̮šitni̮,,,KoPRSl,101-t,,,,kre̮šitni̮,krɤʃitnɯ ,20,,
101-101-2,,101,101,njeervedh,njeervedh,,,NSsNdb,101-u,,,,,,21,,
901-101-1,,901,101,hülʹəbti̮si̮,hülʹəbti̮si̮,,,SlNgaRus,101-v,,,,hülʹəbti̮si̮,hyʎəbtɯsɯ,22,,"'Scatter; crush, pulverize'"
901-101-2,,901,101,śelʹidʹi,śelʹidʹi,,,SlNgaRus,101-w,,,,śelʹidʹi,ɕeʎidʲi,23,,"'Sharpen, grind'"
0-102-1,,0,102,[Not reconstructable],,,PU *we(ń)ćV (UEW) problematic,UEW;Sam88,102-?,,,,,,?,[Not reconstructable],
203-102-1,,203,102,kaikki,kaikki,,,JL,102-a,,,,,kɑikːi,1,,
204-102-1,,204,102,kaikki,kaikki,,,KKSV,102-a,,,,,,1,,
207-102-1,,207,102,kaik,kaik,,,VVS,102-a,,,,,,1,,
208-102-1,,208,102,"kai, kaiɢ, kaiɢin",kai,,,InkmSk,102-a,,,,"kai, kaiɢ, kaiɢin","kɑi, kɑig̊, kɑig̊in ",1,,
208-102-2,,208,102,"kai, kaiɢ, kaiɢin",kaiɢ,,,InkmSk,102-a,,,,"kai, kaiɢ, kaiɢin","kɑi, kɑig̊, kɑig̊in ",1,,
208-102-3,,208,102,"kai, kaiɢ, kaiɢin",kaiɢin,,,InkmSk,102-a,,,,"kai, kaiɢ, kaiɢin","kɑi, kɑig̊, kɑig̊in ",1,,
209-102-1,,209,102,ke̮iɢ ~ ke̮ik,ke̮iɢ ~ ke̮ik,,,VKJMS,102-a,,,,"ke̮iɢ, ke̮ik","kɤig̊, kɤik",1,,
210-102-1,,210,102,kõik,kõik,,,SVSk,102-a,,,,,kɤik,1,,
211-102-1,,211,102,kõik',kõik',,,VESr,102-a,,,,,,1,,
212-102-1,,212,102,amà,amà,,,LivWb,102-b,,,,,,2,,
105-102-1,,105,102,buot,buot,,,SSSg,102-c,,,,,,3,,
106-102-1,,106,102,puoh,puoh,,,InsSSk,102-c,,,,,,3,,
107-102-1,,107,102,puk,puk,,,SKosSk,102-c,,,,,,3,,
108-102-1,,108,102,pugk,pugk,,,WOLD,102-c,,,,,pugː,3,,
401-102-1,,401,102,čə̑la,čə̑la,,,SMSk;TscherWb,102-d,,,,čə̑la,ʧə̠lɑ ,4,,
301-102-1,,301,102,veśe,veśe,,,MordWb,102-e,,,,veśe,veɕe ,5,From PU *we(ń)ćV?,
601-102-1,,601,102,összes,összes,,,FMSz,102-e,,,,,øsːɛʃ,5,From PU *we(ń)ćV?,
901-102-1,,901,102,"bənsə, bəńdʹikā",bənsə,,Latter deriv.; from PU *we(ń)ćV?,SlNgaRus,102-e,,,,"bənsə, bəńdʹikā","bənsə, bəɲdʲikɑː",5,,
901-102-2,,901,102,"bənsə, bəńdʹikā",bəńdʹikā,,Latter deriv.; from PU *we(ń)ćV?,SlNgaRus,102-e,,,,"bənsə, bəńdʹikā","bənsə, bəɲdʲikɑː",5,,
902-102-1,,902,102,mal°h,mal°h,,,JurSWb,102-f,,,,,,6,"Deriv. from ""mal°"" 'end, top'",
501-102-1,,501,102,"bi̮d, bi̮de̮n",bi̮d,,,SyrjWsch,102-g,,,,"bi̮d, bi̮de̮n","bɯd, bɯdɤn",7,,Latter form used with animate referents
501-102-2,,501,102,"bi̮d, bi̮de̮n",bi̮de̮n,,,SyrjWsch,102-g,,,,"bi̮d, bi̮de̮n","bɯd, bɯdɤn",7,,Latter form used with animate referents
503-102-1,,503,102,bi̮de̮s,bi̮de̮s,,,KoPRSl,102-g,,,,bi̮de̮s,bɯdɤs,7,,
601-102-2,,601,102,"mind, minden",mind,,,FMSz,102-h,,,,,"mind, mindɛn",8,,
601-102-3,,601,102,"mind, minden",minden,,,FMSz,102-h,,,,,"mind, mindɛn",8,,
701-102-1,,701,102,sōχ,sōχ,,,WogWb,102-i,,,,sōχ,soːχ ,9,,
807-102-1,,807,102,əj-săɣi̮t,əj-săɣi̮t,,,DEWbOstj,102-j,,,,əj-săɣi̮t,əj-sɑ̆ɣɯt ,10,,"Comp; ""əj"" 'one'"
501-102-3,,501,102,"stav, stave̮n",stav,,,SyrjWsch,102-k,,,,"stav, stave̮n","stɑv, stɑvɤn ",11,,Latter form used with animate referents
501-102-4,,501,102,"stav, stave̮n",stave̮n,,,SyrjWsch,102-k,,,,"stav, stave̮n","stɑv, stɑvɤn ",11,,Latter form used with animate referents
907-102-1,,907,102,muntə,muntə,,,SolkWb,102-l,,,,muntə,muntə,12,,
504-102-1,,504,102,vańmi̮z,vańmi̮z,,,WotjWsch,102-m,,,,vańmi̮z,vɑɲmɯz,13,,
106-102-2,,106,102,viisut,viisut,,,InsSSk,102-n,,,,,,14,,
101-102-1,,101,102,gaajhke,gaajhke,,,NSsNdb,102-o,,,,,,1,,
102-102-1,,102,102,gáihka,gáihka,,,WbWlap,102-o,,,,,,1,,
104-102-1,,104,102,gajk,gajk,,,EZ,102-o,,,,,,1,,
902-103-1,,902,103,[No equivalent],,,No freestanding word in general use,JurSWb,103-0,,,,,,0,[No equivalent],
0-103-1,,0,103,[Not reconstructable],,,,UEW;Sam88,103-?,,,,,,?,[Not reconstructable],
901-103-1,,901,103,[Form not found],,,,SlNgaRus,103-?,,,,,,?,[Form not found],
101-103-1,,101,103,jïh,jïh,,,NSsNdb,103-a,,,,,,1,Poss. direct loan from Scand. instead of through Finnic,
102-103-1,,102,103,jah,jah,,,WbWlap,103-a,,,,,,1,Poss. direct loan from Scand. instead of through Finnic,
204-103-1,,204,103,i,i,,,KKSV,103-b,,,,,,2,,
208-103-1,,208,103,i,i,,,InkmSk,103-b,,,,i,i,2,,
209-103-1,,209,103,i,i,,,VKJMS,103-b,,,,i,i,2,,
204-103-2,,204,103,ta ~ tai,ta ~ tai,,,KKSV,103-c,,,,,,4,"Influence of Russian ""da"" on native ""tai""?",
207-103-1,,207,103,da,da,,,VVS,103-c,,,,,,4,,
208-103-2,,208,103,ta,ta,,,InkmSk,103-c,,,,ta,tɑ,4,"Influence of Russian ""da"" on native ""tai""?",
107-103-1,,107,103,di ~ da etc.,di ~ da etc.,,,SKosSk,103-d,,,,,,4,,
401-103-1,,401,103,δa,δa,,,SMSk;TscherWb,103-e,,,,δa,ðɑ,5,"Loan from Chuvash, influenced by Rus ""da""",
401-103-2,,401,103,δen,δen,,Coordination of nouns,SMSk;TscherWb,103-f,,,,δen,ðen ,6,,
601-103-1,,601,103,"és, s",és,,Latter contraction,FMSz,103-g,,,,,"eːʃ, ʃ",7,,
601-103-2,,601,103,"és, s",s,,Latter contraction,FMSz,103-g,,,,,"eːʃ, ʃ",7,,
701-103-1,,701,103,ja,ja,,,WogWb,103-h,,,,ja,jɑ,8,"Origin unknown, not connected to Fin “ja” (< Ger)",
807-103-1,,807,103,päni,päni,,,DEWbOstj,103-i,,,,päni,pæni ,9,,"'And, again'"
907-103-1,,907,103,aj,aj,,,SolkWb,103-j,,,,aj,ɑj,10,,
807-103-2,,807,103,os,os,,,DEWbOstj,103-k,,,,os,os,11,,"'And, still, again, also'"
108-103-1,,108,103,a,a,,,WOLD,103-l,,,,,a,12,,
101-103-2,,101,103,"gon, gonnoeh",gon,,,NSsNdb,103-m,,,,,,13,,
101-103-3,,101,103,"gon, gonnoeh",gonnoeh,,,NSsNdb,103-m,,,,,,13,,
102-103-2,,102,103,"ja, jah",ja,,,WbWlap,103-n,,,,,,1,Poss. direct loan from Scand. instead of through Finnic,
102-103-3,,102,103,"ja, jah",jah,,,WbWlap,103-n,,,,,,1,Poss. direct loan from Scand. instead of through Finnic,
104-103-1,,104,103,ja,ja,,,EZ,103-n,,,,,,1,,
105-103-1,,105,103,ja,ja,,,SSSg,103-n,,,,,,1,,
106-103-1,,106,103,já ~ ja,já ~ ja,,,InsSSk,103-n,,,,,,1,,
107-103-2,,107,103,ja,ja,,,SKosSk,103-n,,,,,,1,,
108-103-2,,108,103,ja,ja,,,WOLD,103-n,,,,,ja,1,,
203-103-1,,203,103,ja,ja,,,JL,103-o,,,,,jɑ,1,,
208-103-3,,208,103,ja,ja,,,InkmSk,103-o,,,,ja,jɑ,1,,
209-103-2,,209,103,ja,ja,,,VKJMS,103-o,,,,ja,jɑ,1,,
210-103-1,,210,103,ja,ja,,,SVSk,103-o,,,,,jɑ,1,,
211-103-1,,211,103,ja,ja,,,VESr,103-o,,,,,,1,,
212-103-1,,212,103,ja,ja,,,LivWb,103-o,,,,,,1,,
301-103-1,,301,103,di ~ da,di ~ da,,,MordWb,103-p,,,,"di, da","di, dɑ",4,,
501-103-1,,501,103,i,i,,,SyrjWsch,103-q,,,,i,i,2,,
503-103-1,,503,103,i,i,,,KoPRSl,103-q,,,,i,i,2,,
504-103-1,,504,103,i,i,,,WotjWsch,103-q,,,,i,i,2,,
501-103-2,,501,103,da,da,,,SyrjWsch,103-r,,,,da,dɑ,4,,
503-103-2,,503,103,da,da,,,KoPRSl,103-r,,,,da,dɑ,4,,
504-103-2,,504,103,da,da,,,WotjWsch,103-r,,,,da,dɑ,4,,
701-103-2,,701,103,i,i,,,WogWb,103-s,,,,i,i,2,,
301-103-2,,301,103,i,i,,,MordWb,103-t,,,,i,i,2,,
105-104-1,,105,104,ealˈli,ealˈli,,,SSSg,104-a,,,,,,1,From PU *elä- 'live',
106-104-1,,106,104,ellee,ellee,,,InsSSk,104-a,,,,,,1,From PU *elä- 'live',
107-104-1,,107,104,jieʹlli,jieʹlli,,,SKosSk,104-a,,,,,,1,From PU *elä- 'live',
203-104-1,,203,104,eläin,eläin,,,JL,104-a,,,,,e̞læin,1,From PU *elä- 'live',
204-104-1,,204,104,"elävä, elukka",elävä,,,KKSV,104-a,,,,,,1,From PU *elä- 'live',
204-104-2,,204,104,"elävä, elukka",elukka,,,KKSV,104-a,,,,,,1,From PU *elä- 'live',
208-104-1,,208,104,eloɢaᴢ,eloɢaᴢ,,,InkmSk,104-a,,,,eloɢaᴢ,elog̊ɑz,1,From PU *elä- 'live',
209-104-1,,209,104,eлoke̮ᴢ,eлoke̮ᴢ,,,VKJMS,104-a,,,,eloke̮ᴢ,elokɤz,1,From PU *elä- 'live',
211-104-1,,211,104,elläi,elläi,,,VESr,104-a,,,,,,1,From PU *elä- 'live',
108-104-1,,108,104,žɨva,žɨva,,,WOLD,104-b,,,,,ʒɨva,2,,
209-104-2,,209,104,лōm,лōm,,,VKJMS,104-c,,,,lōm,loːm ,3,,
210-104-1,,210,104,loom,loom,,,SVSk,104-c,,,,,loːm ,3,,
212-104-1,,212,104,lùoməz,lùoməz,,,LivWb,104-c,,,,,,3,,
101-104-1,,101,104,juvre,juvre,,,NSsNdb,104-d,,,,,,4,,
301-104-1,,301,104,źveŕ,źveŕ,,,MordWb,104-e,,,,źveŕ,ʑverʲ ,5,,
401-104-1,,401,104,janlə̑k,janlə̑k,,,SMSk;TscherWb,104-f,,,,janlə̑k,jɑnlə̠k,6,,
301-104-2,,301,104,rakša,rakša,,,MordWb,104-g,,,,rakša,rɑkʃɑ,7,,
601-104-1,,601,104,állat,állat,,,FMSz,104-h,,,,,aːlːɒt,8,,
701-104-1,,701,104,ūj,ūj,,,WogWb,104-i,,,,ūj,uːj,9,"From PFU ?*wajV 'wild, shy'",
807-104-1,,807,104,wajəɣ,wajəɣ,,,DEWbOstj,104-i,,,,wajəɣ,wɑjəɣ,9,"From PFU ?*wajV 'wild, shy'",
0-104-1,,0,104,*śurmi̮,*śurmi̮,,,UEW;Sam88,104-j,,,,,,10,,'Wild animal'
902-104-1,,902,104,sarmyik°,sarmyik°,,,JurSWb,104-j,,,,,,10,,
907-104-1,,907,104,sūrəm,sūrəm,,,SolkWb,104-j,,,,sūrəm,suːrəm,10,,
501-104-1,,501,104,peme̮s,peme̮s,,,SyrjWsch,104-k,,,,peme̮s,pemɤs,11,,
504-104-1,,504,104,pe̮jšur,pe̮jšur,,,WotjWsch,104-l,,,,pe̮jšur,pɤjʃur,12,,
503-104-1,,503,104,ve̮rpi,ve̮rpi,,,KoPRSl,104-m,,,,ve̮rpi,vɤrpi,13,Historically from compound 'forest boy',
