ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,item_UPA,item_IPA,form_set,etym_notes,glossing_notes
0-1-1,,0,1,*tuli̮,*tuli̮,,,UEW;Sam88,1-a,,,,,,1,,
101-1-1,,101,1,dålle,dålle,,,NSsNdb,1-a,,,,,,1,,
102-1-1,,102,1,dålla,dålla,,,WbWlap,1-a,,,,,,1,,
104-1-1,,104,1,dållå,dållå,,,EZ,1-a,,,,,,1,,
105-1-1,,105,1,dolla,dolla,,,SSSg,1-a,,,,,,1,,
106-1-1,,106,1,tulla,tulla,,,InsSSk,1-a,,,,,,1,,
107-1-1,,107,1,toll,toll,,,SKosSk,1-a,,,,,,1,,
108-1-1,,108,1,tōll,tōll,,,WOLD,1-a,,,,,toːlː,1,,
203-1-1,,203,1,tuli,tuli,,,JL,1-a,,,,,t̪uli,1,,
204-1-1,,204,1,tuli,tuli,,,KKSV,1-a,,,,,,1,,
207-1-1,,207,1,tulʹi,tulʹi,,,VVS,1-a,,,,,,1,,
208-1-1,,208,1,tuli,tuli,,,InkmSk,1-a,,,,tuli,tuli ,1,,
209-1-1,,209,1,tuli,tuli,,,VKJMS,1-a,,,,tuli,tuli ,1,,
210-1-1,,210,1,tuli,tuli,,,SVSk,1-a,,,,,tuli,1,,
211-1-1,,211,1,tuli,tuli,,,VESr,1-a,,,,,,1,,
212-1-1,,212,1,tuʾlʹ,tuʾlʹ,,,LivWb,1-a,,,,,,1,,
301-1-1,,301,1,tol,tol,,,MordWb,1-a,,,,tol,tol ,1,,
401-1-1,,401,1,tul,tul,,,SMSk;TscherWb,1-a,,,,tul,tul ,1,,
504-1-1,,504,1,ti̮l,ti̮l,,,WotjWsch,1-a,,,,ti̮l,tɯl ,1,,
901-1-1,,901,1,tuj,tuj,,,SlNgaRus,1-a,,,,tuj,tuj ,1,,
902-1-1,,902,1,tu,tu,,,JurSWb,1-a,,,,,,1,,
907-1-1,,907,1,tǖ,tǖ,,,SolkWb,1-a,,,,tǖ,tyː,1,,
207-1-2,,207,1,lʹämoi,lʹämoi,,,VVS,1-b,,,,,,2,,
501-1-1,,501,1,bi,bi,,,SyrjWsch,1-c,,,,bi,bi,3,Possibly from PFU *päjwä,
503-1-1,,503,1,bi,bi,,,KoPRSl,1-c,,,,bi,bi,3,Possibly from PFU *päjwä,
601-1-1,,601,1,tűz,tűz,,,FMSz,1-d,,,,,tyːz,4,,
807-1-1,,807,1,tö̆ɣət,tö̆ɣət,,,DEWbOstj,1-d,,,,tö̆ɣət,tø̆ɣət,4,,
701-1-1,,701,1,ulʹa,ulʹa,,,WogWb,1-e,,,,ulʹa,uʎɑ ,5,,
701-1-2,,701,1,nāj,nāj,,,WogWb,1-f,,,,nāj,nɑːj ,6,,
0-10-1,,0,10,"*ti-, *tun-",*ti-,,,UEW;Sam88,10-a,,,,,,1,,
0-10-2,,0,10,"*ti-, *tun-",*tun-,,,UEW;Sam88,10-a,,,,,,1,,
