"mng_item"	"LJ_rank"	"uralex_mng"	"definition"
1	1	"fire"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."
2	2	"nose"	"A generic noun for a human nose."
3	3	"go"	"A generic verb meaning 'go', i.e. move to a place away from one's current location."
4	4	"water"	"A generic noun for (fresh) water."
5	5	"mouth"	"A generic noun for a human mouth."
6	6	"tongue"	"A generic noun for a human tongue."
7	7	"blood"	"A generic noun for arterial blood."
8	7	"bone"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."
9	9	"root"	"A generic noun for the root of a plant."
10	9	"you_sg"	"Second-person singular pronoun."
11	11	"come"	"A generic verb for 'come', i.e. move towards a person's current location."
12	12	"breast"	"A generic noun for a female breast."
13	13	"rain"	"A generic noun for precipitation."
14	14	"I"	"First-person singular pronoun."
15	15	"louse"	"A generic noun for the parasitic insect of the order Phthiraptera."
16	15	"name"	"A generic noun for 'name', i.e. the designation of a person."
17	17	"wing"	"A generic noun for 'wing', i.e. the body part of an animal used for flying or gliding."
18	18	"meat"	"A generic noun for 'meat', i.e. the edible flesh of an animal."
19	19	"hand"	"A generic noun for 'hand', i.e. the part of the body located at the end of the arm, below the wrist."
20	20	"fly_n"	"A generic noun for the insect of the order Diptera."
21	20	"night"	"A generic noun for 'night', i.e. the generally dark period of time that contrasts with 'day'."
22	22	"ear"	"A generic noun for 'ear', i.e. the body part used for hearing."
23	23	"far"	"A generic adverb for 'far', i.e. being distant from a reference point. Antonym of 'near'."
24	23	"neck"	"A generic noun for 'neck', i.e. the part of the body below the head and above the torso."
25	25	"do"	"A generic verb for performing an unspecified action."
26	26	"house"	"A generic noun for 'house', i.e. a permanent manmade structure which serves as e.g. living quarters, meeting place, shelter or storage."
27	27	"stone"	"A generic verb for 'stone'."
28	28	"bitter"	"A generic adjective 'bitter', i.e. a sharp, pungent taste."
29	28	"say"	"A generic verb for 'say', i.e. to express something verbally."
30	28	"tooth"	"A generic noun for 'tooth', i.e. the hard white objects inside the mouth used for biting and chewing."
31	31	"hair"	"A generic noun for 'hair', i.e. a threadlike growth on the skin of an animal or a human."
32	32	"big"	"A generic adjective denoting large size. Antonym of 'small'."
33	32	"one"	"A numeral with the value 1."
34	34	"he_she"	"Third-person singular pronoun."
35	34	"who"	"Interrogative singular personal pronoun."
36	36	"hit"	"A generic verb for 'hit', i.e. strike an object."
37	37	"foot"	"A generic noun for 'foot', i.e. the part of the leg below the ankle."
38	37	"leg"	"A generic noun for 'leg', i.e. the part of the human body that supports the weight and is used in walking and running."
39	38	"fish"	"A generic noun for a live fish."
40	38	"horn"	"A generic noun for 'horn', i.e. the bony pointed projection on the head of various animals."
41	38	"this"	"Singular form proximal demonstrative pronoun."
42	41	"yesterday"	"A generic noun for the day before today."
43	42	"black"	"A generic adjective for the color black."
44	42	"drink"	"A generic transitive verb denoting the consumption of a liquid."
45	42	"navel"	"A generic noun for the navel or the belly button."
46	45	"stand"	"A generic verb for 'stand', i.e. remain in an upright position supported by one's feet."
47	46	"back"	"A generic noun for 'back, i.e. the body part situated between the buttocks and the back of the neck."
48	46	"bite"	"A generic verb for 'bite', i.e. to cut into somewhing with the teeth."
49	48	"wind"	"A generic noun for 'wind', i.e. the natural movement of air."
