"ref_abbr"	"original_reference"	"type"
"VVS"	@misc{VVS title={Vepsän verkkosanasto [Online database]}, notes={{H}elsinki: {K}otimaisten kielten tutkimuskeskus. {A}vailable online: http://kaino.kotus}}	"U"
"NRVS"	"@book{NRVS author={Zaiceva, {N}ina & {M}ullonen, {M}aria}, year=2007, title={{U}z' venä-vepsläine vajehnik = {Н}овый русско-вепсский словарь}, publisher={{P}etroskoi}}"	"P"
"InkmSk"	"@book{InkmSk author={Nirvi, {R}. {E}. (ed.)}, year=1971, title={{I}nkeroismurteiden sanakirja. {L}exica societatis {F}enno-ugricae {X}VIII}, publisher={{S}uomalais-{U}grilainen {S}eura}, address={{H}elsinki}}"	"P"
"VKJMS"	"@book{VKJMS author={Tsvetkov, {D}mitri}, year=1995, title={{V}atjan kielen {J}oenperän murteen sanasto. {T}oimittanut, käänteissanaston ja hakemiston laatinut {J}ohanna {L}aakso. {L}exica {S}ocietas {F}enno-Ugricae 25}, publisher={{S}uomalais-{U}grilainen {S}eura}, address={{H}elsinki}}"	"P"
"SVSk"	"@book{SVSk editor={Pall, {V}aldek}, year=2003, title={{S}uomi–viro-suursanakirja. {P}arts 1 and 2. {K}otimaisten kielten tutkimuskeskuksen julkaisuja 124}, publisher={{E}esti {K}eele {S}ihtasutus}, address={{T}allinn}}"	"P"
"VESr"	@misc{VESr editor={Jüvä, {S}ullõv}, title={{V}õro-eesti synaraamat = {V}õru-eesti sõnaraamat [{O}nline dictionary]}, notes={{A}vailable online: http://www.folklore/Synaraamat/ (accessed August 2, 2012).}}	"U"
"LivWb"	"@book{LivWb author={Kettunen, {L}auri}, year=1938, title={{L}ivisches {W}örterbuch mit grammatischer {E}inleitung}, address={{H}elsinki}}"	"P"
"MordWb"	"@book{MordWb author={Paasonen, {H}eikki}, year={1990-1998}, title={{M}ordwinisches {W}örterbuch. {B}and 1-4}, publisher={{S}uomalais-ugrilainen seura}, address={{H}elsinki}}"	"P"
"SMSk"	"@book{SMSk author={Moisio, {A}rto & {G}alkin, {I}van & {V}asiljev, {V}alentin}, year=1995, title={{S}uomalais-marilainen sanakirja = {Ф}иннла-марла мутер. {T}urun yliopiston suomalaisen ja yleisen kielitieteen laitoksen julkaisuja 52}, publisher={{T}urun yliopisto}, address={{T}urku}}"	"P"
"TscherWb"	"@book{TscherWb author={Moisio, {A}rto & {S}aarinen,{S}irkka }, year=2008, title={{T}scheremissisches {W}örterbuch. {A}ufgezeichnet von {V}olmari {P}orkka, {A}rvid {G}enetz, {Y}rjö {W}ichmann, {M}artti {R}äsänen, {T}. {E}. {U}otila und {E}rkki {I}tkonen. {L}exica {S}ocietatis {F}enno-Ugricae 32}, publisher={{S}uomalais-{U}grilainen {S}eura}, address={{H}elsinki}}"	"P"
"SyrjWsch"	"@book{SyrjWsch author={Wichmann, {Y}rjö}, year=1942, title={{S}yrjänischer {W}ortschatz nebst {H}auptzügen der {F}ormenlehre. {B}earbeitet und herausgegeben von {T}. {E}. {U}otila}, publisher={{S}uomalais-{U}grilainen seura}, address={{H}elsinki}}"	"P"
"KoPRSl"	"@book{KoPRSl editor={Balatova, {R}. {M}. & {K}rivoščokova-{G}antman {M}., {A}. {C}.}, year=1985, title={{K}omi-{P}ermyacko-{R}usskiy {S}lovar = {К}оми-пермяцко-русский словарь. {С}ост. {Р}.{М}. {Б}аталова, {А}.{С}. {К}ривощёкова-{Г}антман. {М}., {С}оставитель электронной версии: магистр филологии {Б}ашуров {В}ладимир {П}етрович ({Ю}сьвинский р-н).  {Р}едактор электронной версии: {П}ыстогов {М}ихаил {В}асильевич ({К}очёвский район)}}"	"P"
"WotjWsch"	"@book{WotjWsch author={Wichmann, {Y}rjö}, year=1987, title={{W}otjakischer {W}ortschatz. {B}earbeitet von {T}. {E}. {U}otila und {M}ikko {K}orhonen. {H}erausgegeben von {M}ikko {K}orhonen}, publisher={{S}uomalais-ugrilainen seura}, address={{H}elsinki}}"	"P"
"FMSz"	"@book{FMSz author={Papp, {I}stván}, year=1978, title={{F}inn-Magyar {S}zótár. {H}armadik kiadás}, edition=3, publisher={{A}kadémiai {K}iadó}, address={{B}udapest}}"	"P"
