"lgid3"	"language"	"ASCII_name"	"ISO-639-3"	"Description"	"Subgroup"
0	"Proto-Uralic*"	"Proto_Uralic"			"(reconstr.)"
101	"South Saami"	"Saami_South"	"sma"		"Saami"
102	"Ume Saami"	"Saami_Ume"	"sju"		"Saami"
103	"Lule Saami"	"Saami_Lule"	"smj"		"Saami"
104	"Pite Saami"	"Saami_Pite"	"sje"		"Saami"
105	"North Saami"	"Saami_North"	"sme"		"Saami"
106	"Inari Saami"	"Saami_Inari"	"smn"		"Saami"
107	"Skolt Saami"	"Saami_Skolt"	"sms"		"Saami"
108	"Kildin Saami"	"Saami_Kildin"	"sjd"		"Saami"
111	"Skolt Saami (Tuloma)"	"Saami_Skolt_Tuloma"			"Saami"
112	"Akkala Saami"	"Saami_Akkala"	"sia"		"Saami"
113	"Kildin Saami (Varzino)"	"Saami_Kildin_Varzino"			"Saami"
114	"Kildin Saami (Lovozero)"	"Saami_Kildin_Lovozero"			"Saami"
115	"Ter Saami"	"Saami_Ter"	"sjt"		"Saami"
201	"Meänkieli Finnish"	"Finnish_Meankieli"	"fit"		"Finnic"
202	"Kven Finnish"	"Finnish_Kven"	"fkv"		"Finnic"
203	"Standard Finnish"	"Finnish_Standard"	"fin"		"Finnic"
204	"Karelian Proper"	"Karelian_Proper"	"krl"		"Finnic"
205	"Livvi-Karelian"	"Livvi_Karelian"	"olo"		"Finnic"
206	"Ludian"	"Ludian"	"lud"		"Finnic"
207	"Veps"	"Veps"	"vep"		"Finnic"
208	"Ingrian"	"Ingrian"	"izh"		"Finnic"
209	"Western Votic"	"Votic_Western"		"Linguist list code: vot-wes"	"Finnic"
210	"Standard Estonian"	"Estonian_Standard"	"ekk"		"Finnic"
211	"Võro South Estonian"	"Estonian_South"	"vro"		"Finnic"
212	"Courland Livonian"	"Livonian_Courland"		"Courland dialect of Livonian"	"Finnic"
301	"Erzya"	"Erzya"	"myv"		"Mordvin"
302	"Moksha"	"Moksha"	"mdf"		"Mordvin"
401	"Meadow Mari"	"Mari_Meadow"	"mhr"		"Mari"
402	"Hill Mari"	"Mari_Hill"	"mrj"		"Mari"
501	"Komi-Zyrian"	"Komi_Zyrian"	"kpv"		"Permic"
503	"Komi-Permyak"	"Komi_Permyak"	"koi"		"Permic"
504	"Udmurt"	"Udmurt"	"udm"		"Permic"
601	"Hungarian"	"Hungarian"	"hun"		"Ugric"
701	"Sosva Mansi"	"Mansi_Sosva"		"A northern Mansi dialect."	"Ugric"
705	"Pelym Mansi"	"Mansi_Pelym"		"A western Mansi dialect."	"Ugric"
801	"Obdorsk Khanty"	"Khanty_Obdorsk"		"A northern Khanty dialect."	"Ugric"
807	"Vakh-Vasyugan Khanty"	"Khanty_Vakh_Vasyugan"		"An eastern Khanty dialect."	"Ugric"
901	"Nganasan"	"Nganasan"	"nio"		"Samoyed"
902	"Tundra Nenets"	"Nenets_Tundra"		"Linguist list code: yrk-tun"	"Samoyed"
907	"Selkup"	"Selkup_Northern"		"Taz dialect of Selkup"	"Samoyed"
908	"Kamas"	"Kamas"	"xas"		"Samoyed"
909	"Mator"	"Mator"	"mtm"		"Samoyed"
