"lgid3"	"language"	"collected_by"	"final_wordlist_checked_by"
0	"Proto-Uralic*"	"Jyri Lehtinen"	
101	"South Saami"	"Eino Koponen, Jyri Lehtinen"	
102	"Ume Saami"	"Jyri Lehtinen"	"Eino Koponen"
103	"Lule Saami"		
104	"Pite Saami"	"Evgenia Zhivotova"	
105	"North Saami"	"Jyri Lehtinen"	"Kaarina Vuolab-Lohi"
106	"Inari Saami"	"Jyri Lehtinen"	
107	"Skolt Saami"	"Jyri Lehtinen"	"Eino Koponen"
108	"Kildin Saami"	"Michael Rießler"	
111	"Skolt Saami (Tuloma)"	"Michael Rießler"	
112	"Akkala Saami"	"Michael Rießler"	
113	"Kildin Saami (Varzino)"	"Michael Rießler"	
114	"Kildin Saami (Lovozero)"	"Michael Rießler"	
115	"Ter Saami"	"Michael Rießler"	
201	"Meänkieli Finnish"		
202	"Kven Finnish"		
203	"Standard Finnish"	"Jyri Lehtinen"	"Kaj Syrjänen"
204	"Karelian Proper"	"Jyri Lehtinen"	"Marja Torikka"
205	"Livvi-Karelian"		
206	"Ludian"		
207	"Veps"	"Jyri Lehtinen"	"Santra Jantunen"
208	"Ingrian"	"Katri Hiovain"	
209	"Western Votic"	"Katri Hiovain"	
210	"Standard Estonian"	"Jyri Lehtinen"	"Eve Mikone"
211	"Võro South Estonian"	"Katri Hiovain"	"Sulev Iva"
212	"Courland Livonian"	"Jyri Lehtinen"	"Santra Jantunen"
301	"Erzya"	"Jyri Lehtinen"	"Natalia Chinaeva"
302	"Moksha"		
401	"Meadow Mari"	"Jyri Lehtinen"	"Arto Moisio"
402	"Hill Mari"		
501	"Komi-Zyrian"	"Jyri Lehtinen"	"Svetlana Lumme"
503	"Komi-Permyak"	"Nikolett F. Gulyás"	"Larisa Ponomareva, Rogier Blokland"
504	"Udmurt"	"Jyri Lehtinen"	"Olga Titova"
601	"Hungarian"	"Jyri Lehtinen"	"Judit Varga, Zoltán Balogh, Nikolett F. Gulyás"
701	"Sosva Mansi"	"Jyri Lehtinen"	"Susanna Virtanen"
705	"Pelym Mansi"		
801	"Obdorsk Khanty"		
807	"Vakh-Vasyugan Khanty"	"Jyri Lehtinen"	"Merja Salo"
901	"Nganasan"	"Jyri Lehtinen"	
902	"Tundra Nenets"	"Jyri Lehtinen"	"Tapani Salminen"
907	"Selkup"	"Jyri Lehtinen"	"Tapani Salminen"
908	"Kamas"		
909	"Mator"		
